mu Delta Omega mu0 Delta0 Omega0
336.734693877551 -979.7979797979798 -168.9494245403591 336.734693877551 nan nan 
346.9387755102041 -979.7979797979798 -168.9494245403591 346.9387755102041 nan nan 
357.1428571428571 -979.7979797979798 -168.9494245403591 357.1428571428571 nan nan 
367.3469387755102 -979.7979797979798 -168.9494245403591 367.3469387755102 nan nan 
377.55102040816325 -979.7979797979798 -168.9494245403591 377.55102040816325 nan nan 
387.7551020408163 -979.7979797979798 -168.9494245403591 387.7551020408163 nan nan 
397.9591836734694 -979.7979797979798 -168.9494245403591 397.9591836734694 nan nan 
408.1632653061224 -979.7979797979798 -168.9494245403591 408.1632653061224 nan nan 
418.3673469387755 -979.7979797979798 -168.9494245403591 418.3673469387755 nan nan 
428.57142857142856 -979.7979797979798 -168.9494245403591 428.57142857142856 nan nan 
438.7755102040816 -979.7979797979798 -168.9494245403591 438.7755102040816 nan nan 
448.9795918367347 -979.7979797979798 -168.9494245403591 448.9795918367347 nan nan 
459.18367346938777 -979.7979797979798 -168.9494245403591 459.18367346938777 nan nan 
469.3877551020408 -979.7979797979798 -168.9494245403591 469.3877551020408 nan nan 
479.59183673469386 -979.7979797979798 -168.9494245403591 479.59183673469386 nan nan 
489.7959183673469 -979.7979797979798 -168.9494245403591 489.7959183673469 nan nan 
500.0 -979.7979797979798 -168.9494245403591 500.0 nan nan 

0.0 -959.5959595959596 -145.60531168533208 0.0 nan nan 
10.204081632653061 -959.5959595959596 -145.60531168533208 10.204081632653061 nan nan 
20.408163265306122 -959.5959595959596 -145.60531168533208 20.408163265306122 nan nan 
30.612244897959183 -959.5959595959596 -145.60531168533208 30.612244897959183 nan nan 
40.816326530612244 -959.5959595959596 -145.60531168533208 40.816326530612244 nan nan 
51.0204081632653 -959.5959595959596 -145.60531168533208 51.0204081632653 nan nan 
61.224489795918366 -959.5959595959596 -145.60531168533208 61.224489795918366 nan nan 
71.42857142857143 -959.5959595959596 -145.60531168533208 71.42857142857143 nan nan 
81.63265306122449 -959.5959595959596 -145.60531168533208 81.63265306122449 nan nan 
91.83673469387755 -959.5959595959596 -145.60531168533208 91.83673469387755 nan nan 
102.0408163265306 -959.5959595959596 -145.60531168533208 102.0408163265306 nan nan 
112.24489795918367 -959.5959595959596 -145.60531168533208 112.24489795918367 nan nan 
122.44897959183673 -959.5959595959596 -145.60531168533208 122.44897959183673 nan nan 
132.6530612244898 -959.5959595959596 -145.60531168533208 132.6530612244898 nan nan 
142.85714285714286 -959.5959595959596 -145.60531168533208 142.85714285714286 nan nan 
153.0612244897959 -959.5959595959596 -145.60531168533208 153.0612244897959 nan nan 
163.26530612244898 -959.5959595959596 -145.60531168533208 163.26530612244898 nan nan 
173.46938775510205 -959.5959595959596 -145.60531168533208 173.46938775510205 nan nan 
183.6734693877551 -959.5959595959596 -145.60531168533208 183.6734693877551 nan nan 
193.87755102040816 -959.5959595959596 -145.60531168533208 193.87755102040816 nan nan 
204.0816326530612 -959.5959595959596 -145.60531168533208 204.0816326530612 nan nan 
214.28571428571428 -959.5959595959596 -145.60531168533208 214.28571428571428 nan nan 
224.48979591836735 -959.5959595959596 -145.60531168533208 224.48979591836735 nan nan 
234.6938775510204 -959.5959595959596 -145.60531168533208 234.6938775510204 nan nan 
244.89795918367346 -959.5959595959596 -145.60531168533208 244.89795918367346 nan nan 
255.10204081632654 -959.5959595959596 -145.60531168533208 255.10204081632654 nan nan 
265.3061224489796 -959.5959595959596 -145.60531168533208 265.3061224489796 nan nan 
275.51020408163265 -959.5959595959596 -145.60531168533208 275.51020408163265 nan nan 
285.7142857142857 -959.5959595959596 -145.60531168533208 285.7142857142857 nan nan 
295.9183673469388 -959.5959595959596 -145.60531168533208 295.9183673469388 nan nan 
306.1224489795918 -959.5959595959596 -145.60531168533208 306.1224489795918 nan nan 
316.3265306122449 -959.5959595959596 -145.60531168533208 316.3265306122449 nan nan 
326.53061224489795 -959.5959595959596 -145.60531168533208 326.53061224489795 nan nan 
336.734693877551 -959.5959595959596 -145.60531168533208 336.734693877551 nan nan 
346.9387755102041 -959.5959595959596 -145.60531168533208 346.9387755102041 nan nan 
357.1428571428571 -959.5959595959596 -145.60531168533208 357.1428571428571 nan nan 
367.3469387755102 -959.5959595959596 -145.60531168533208 367.3469387755102 nan nan 
377.55102040816325 -959.5959595959596 -145.60531168533208 377.55102040816325 nan nan 
387.7551020408163 -959.5959595959596 -145.60531168533208 387.7551020408163 nan nan 
397.9591836734694 -959.5959595959596 -145.60531168533208 397.9591836734694 nan nan 
408.1632653061224 -959.5959595959596 -145.60531168533208 408.1632653061224 nan nan 
418.3673469387755 -959.5959595959596 -145.60531168533208 418.3673469387755 nan nan 
428.57142857142856 -959.5959595959596 -145.60531168533208 428.57142857142856 nan nan 
438.7755102040816 -959.5959595959596 -145.60531168533208 438.7755102040816 nan nan 
448.9795918367347 -959.5959595959596 -145.60531168533208 448.9795918367347 nan nan 
459.18367346938777 -959.5959595959596 -145.60531168533208 459.18367346938777 nan nan 
469.3877551020408 -959.5959595959596 -145.60531168533208 469.3877551020408 nan nan 
479.59183673469386 -959.5959595959596 -145.60531168533208 479.59183673469386 nan nan 
489.7959183673469 -959.5959595959596 -145.60531168533208 489.7959183673469 nan nan 
500.0 -959.5959595959596 -145.60531168533208 500.0 nan nan 

0.0 -939.3939393939394 -124.63880784127211 0.0 nan nan 
10.204081632653061 -939.3939393939394 -124.63880784127211 10.204081632653061 nan nan 
20.408163265306122 -939.3939393939394 -124.63880784127211 20.408163265306122 nan nan 
30.612244897959183 -939.3939393939394 -124.63880784127211 30.612244897959183 nan nan 
40.816326530612244 -939.3939393939394 -124.63880784127211 40.816326530612244 nan nan 
51.0204081632653 -939.3939393939394 -124.63880784127211 51.0204081632653 nan nan 
61.224489795918366 -939.3939393939394 -124.63880784127211 61.224489795918366 nan nan 
71.42857142857143 -939.3939393939394 -124.63880784127211 71.42857142857143 nan nan 
81.63265306122449 -939.3939393939394 -124.63880784127211 81.63265306122449 nan nan 
91.83673469387755 -939.3939393939394 -124.63880784127211 91.83673469387755 nan nan 
102.0408163265306 -939.3939393939394 -124.63880784127211 102.0408163265306 nan nan 
112.24489795918367 -939.3939393939394 -124.63880784127211 112.24489795918367 nan nan 
122.44897959183673 -939.3939393939394 -124.63880784127211 122.44897959183673 nan nan 
132.6530612244898 -939.3939393939394 -124.63880784127211 132.6530612244898 nan nan 
142.85714285714286 -939.3939393939394 -124.63880784127211 142.85714285714286 nan nan 
153.0612244897959 -939.3939393939394 -124.63880784127211 153.0612244897959 nan nan 
163.26530612244898 -939.3939393939394 -124.63880784127211 163.26530612244898 nan nan 
173.46938775510205 -939.3939393939394 -124.63880784127211 173.46938775510205 nan nan 
183.6734693877551 -939.3939393939394 -124.63880784127211 183.6734693877551 nan nan 
193.87755102040816 -939.3939393939394 -124.63880784127211 193.87755102040816 nan nan 
204.0816326530612 -939.3939393939394 -124.63880784127211 204.0816326530612 nan nan 
214.28571428571428 -939.3939393939394 -124.63880784127211 214.28571428571428 nan nan 
224.48979591836735 -939.3939393939394 -124.63880784127211 224.48979591836735 nan nan 
234.6938775510204 -939.3939393939394 -124.63880784127211 234.6938775510204 nan nan 
244.89795918367346 -939.3939393939394 -124.63880784127211 244.89795918367346 nan nan 
255.10204081632654 -939.3939393939394 -124.63880784127211 255.10204081632654 nan nan 
265.3061224489796 -939.3939393939394 -124.63880784127211 265.3061224489796 nan nan 
275.51020408163265 -939.3939393939394 -124.63880784127211 275.51020408163265 nan nan 
285.7142857142857 -939.3939393939394 -124.63880784127211 285.7142857142857 nan nan 
295.9183673469388 -939.3939393939394 -124.63880784127211 295.9183673469388 nan nan 
306.1224489795918 -939.3939393939394 -124.63880784127211 306.1224489795918 nan nan 
