omega2 r U0 U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11
nan 0.029100000000000018 2.3578436280020408e-05 2.2265816435752224e-05 2.2052623183351082e-05 2.173642528316732e-05 2.1316192166289568e-05 2.079800971227225e-05 2.0188424499225976e-05 1.9494321239525388e-05 1.8722949278767017e-05 1.7881938888626744e-05 1.697928992439909e-05 1.602333540160721e-05 
nan 0.03010000000000002 2.5825233081378445e-05 2.4277439617956355e-05 2.402649626921828e-05 2.365454509545988e-05 2.316065696806431e-05 2.255235970577156e-05 2.1837789107382872e-05 2.102553252999108e-05 2.0124647521989372e-05 1.9144667744573358e-05 1.8095575686310517e-05 1.6987745352157478e-05 
nan 0.03110000000000002 2.81824046360285e-05 2.6368363623596185e-05 2.607479711024697e-05 2.563995642421708e-05 2.506309956803141e-05 2.4353474538159705e-05 2.352111854376403e-05 2.257665934765711e-05 2.1531320846332173e-05 2.039691291257788e-05 1.9185781592923063e-05 1.791072364042097e-05 
nan 0.03210000000000002 3.064868093520501e-05 2.8534650324428465e-05 2.8193193730840133e-05 2.768776363989979e-05 2.7017913242679832e-05 2.6194930684573066e-05 2.5231113822756287e-05 2.4139519136971953e-05 2.2933947471077925e-05 2.162891041446827e-05 2.0239549657329347e-05 1.87815143225906e-05 
nan 0.03310000000000002 3.3222496259224044e-05 3.0771971358173794e-05 3.0376954354355605e-05 2.9792660047519677e-05 2.901907058690631e-05 2.8069880379294116e-05 2.696005905000264e-05 2.570553559202383e-05 2.432315555856427e-05 2.283061459893038e-05 2.1246336578703682e-05 1.9589302597431634e-05 
nan 0.03410000000000002 3.590200316939495e-05 3.30756272134986e-05 3.2620967805588684e-05 3.1948950473693274e-05 3.1060149409006154e-05 2.9971082179480202e-05 2.8699858229324248e-05 2.7265783427029295e-05 2.5689277703127557e-05 2.3991763987127076e-05 2.2195492282070492e-05 2.0323306869653188e-05 
nan 0.03510000000000002 3.868508738796771e-05 3.5440567491115765e-05 3.4919765146816175e-05 3.4150575174158766e-05 3.313436006114623e-05 3.1890933097901606e-05 3.0442073770757733e-05 2.8811034944903578e-05 2.7022407229760604e-05 2.5101948786302737e-05 2.307633974553473e-05 2.097287138114667e-05 
nan 0.03610000000000002 4.156938344006505e-05 3.7861412169153024e-05 3.726754236642147e-05 3.6391134866065186e-05 3.5234573987658315e-05 3.3821502055626565e-05 3.217796640683004e-05 3.0331808051058162e-05 2.8312455869235094e-05 2.6150679533027015e-05 2.3878255443262057e-05 2.1527558574888213e-05 
nan 0.03710000000000002 4.455229093008356e-05 4.0332473698819034e-05 3.965818393688415e-05 3.866391668693256e-05 3.735335327085266e-05 3.575456440270876e-05 3.389853622113994e-05 3.181841535661041e-05 2.9549212374191998e-05 2.7127456327423856e-05 2.4590749736297036e-05 2.197724036775338e-05 
nan 0.03810000000000002 4.7630991324082457e-05 4.284777975538761e-05 4.2085287057910314e-05 4.0961920881187463e-05 3.948298095310603e-05 3.768163725412726e-05 3.559456449286168e-05 3.32610140155347e-05 3.07224016427057e-05 2.8021838124926078e-05 2.5203546554251126e-05 2.231218752919422e-05 
nan 0.039100000000000024 5.080246511035371e-05 4.54010964706331e-05 4.454218640169171e-05 4.3277888016560655e-05 4.161549191564209e-05 3.95940153903613e-05 3.72566560637267e-05 3.464965594464562e-05 3.182174392268845e-05 2.882351156327174e-05 2.5706661729286015e-05 2.252315639275216e-05 
nan 0.040100000000000025 5.406350921228309e-05 4.7985951975680315e-05 4.7021979180308934e-05 4.56043265359862e-05 4.374270409828474e-05 4.1482807476637834e-05 3.8875281939946775e-05 3.5974338083235064e-05 3.2837013681739224e-05 2.9522358819071477e-05 2.6090479369013765e-05 2.2601472165908506e-05 
nan 0.041100000000000025 5.7410754530562956e-05 5.059566008763535e-05 4.95175503599976e-05 4.793354045583504e-05 4.585624985040864e-05 4.333897236195607e-05 4.044082185030703e-05 3.722505236056559e-05 3.375809774250193e-05 3.0108524010108058e-05 2.6345825686596744e-05 2.2539108150272536e-05 
nan 0.042100000000000026 6.08406834972368e-05 5.322334398037263e-05 5.202159785434706e-05 5.02576570292285e-05 4.794760721209007e-05 4.515335522907554e-05 4.194360649370577e-05 3.8391835054472685e-05 3.457505230326667e-05 3.057247768628965e-05 2.6464039743840654e-05 2.2328760237561174e-05 
nan 0.04310000000000003 6.434964752840365e-05 5.5861959686598235e-05 5.4526657535730995e-05 5.256865420118861e-05 5.000813093364553e-05 4.691672337754495e-05 4.337395922278736e-05 3.946481524133711e-05 3.527815848595384e-05 3.090507898260619e-05 2.643704060532442e-05 2.196391610618435e-05 
nan 0.04410000000000003 6.793388426857377e-05 5.8504319287133897e-05 5.702512791363383e-05 5.485838769261728e-05 5.20290830532854e-05 4.861980143527966e-05 4.4722236926476786e-05 4.043426205782625e-05 3.5857976079587625e-05 3.109763504195642e-05 2.6257390448556333e-05 2.1438918607920054e-05 
nan 0.04510000000000003 7.158953452883403e-05 6.114311365490669e-05 5.9509294340587306e-05 5.711861756298063e-05 5.4001662866767566e-05 5.025330581023383e-05 4.597886989301883e-05 4.1290630517651124e-05 3.6305395176185475e-05 3.11419573532898e-05 2.591835322538637e-05 2.0749022902311914e-05 
