mu sigma omega mu0 sigma0 omega0
10.204081632653061 -407.82828282828285 60.66977767694336 10.204081632653061 nan nan 
20.408163265306122 -407.82828282828285 60.66977767694336 20.408163265306122 nan nan 
30.612244897959183 -407.82828282828285 60.66977767694336 30.612244897959183 nan nan 
40.816326530612244 -407.82828282828285 60.66977767694336 40.816326530612244 nan nan 
51.0204081632653 -407.82828282828285 60.66977767694336 51.0204081632653 nan nan 
61.224489795918366 -407.82828282828285 60.66977767694336 61.224489795918366 nan nan 
71.42857142857143 -407.82828282828285 60.66977767694336 71.42857142857143 nan nan 
81.63265306122449 -407.82828282828285 60.66977767694336 81.63265306122449 nan nan 
91.83673469387755 -407.82828282828285 60.66977767694336 91.83673469387755 nan nan 
102.0408163265306 -407.82828282828285 60.66977767694336 102.0408163265306 nan nan 
112.24489795918367 -407.82828282828285 60.66977767694336 112.24489795918367 nan nan 
122.44897959183673 -407.82828282828285 60.66977767694336 122.44897959183673 nan nan 
132.6530612244898 -407.82828282828285 60.66977767694336 132.6530612244898 nan nan 
142.85714285714286 -407.82828282828285 60.66977767694336 142.85714285714286 nan nan 
153.0612244897959 -407.82828282828285 60.66977767694336 153.0612244897959 nan nan 
163.26530612244898 -407.82828282828285 60.66977767694336 163.26530612244898 nan nan 
173.46938775510205 -407.82828282828285 60.66977767694336 173.46938775510205 nan nan 
183.6734693877551 -407.82828282828285 60.66977767694336 183.6734693877551 nan nan 
193.87755102040816 -407.82828282828285 60.66977767694336 193.87755102040816 nan nan 
204.0816326530612 -407.82828282828285 60.66977767694336 204.0816326530612 nan nan 
214.28571428571428 -407.82828282828285 60.66977767694336 214.28571428571428 nan nan 
224.48979591836735 -407.82828282828285 60.66977767694336 224.48979591836735 nan nan 
234.6938775510204 -407.82828282828285 60.66977767694336 234.6938775510204 nan nan 
244.89795918367346 -407.82828282828285 60.66977767694336 244.89795918367346 nan nan 
255.10204081632654 -407.82828282828285 60.66977767694336 255.10204081632654 nan nan 
265.3061224489796 -407.82828282828285 60.66977767694336 265.3061224489796 nan nan 
275.51020408163265 -407.82828282828285 60.66977767694336 275.51020408163265 nan nan 
285.7142857142857 -407.82828282828285 60.66977767694336 285.7142857142857 nan nan 
295.9183673469388 -407.82828282828285 60.66977767694336 295.9183673469388 nan nan 
306.1224489795918 -407.82828282828285 60.66977767694336 306.1224489795918 nan nan 
316.3265306122449 -407.82828282828285 60.66977767694336 316.3265306122449 nan nan 
326.53061224489795 -407.82828282828285 60.66977767694336 326.53061224489795 nan nan 
336.734693877551 -407.82828282828285 60.66977767694336 336.734693877551 nan nan 
346.9387755102041 -407.82828282828285 60.66977767694336 346.9387755102041 nan nan 
357.1428571428571 -407.82828282828285 60.66977767694336 357.1428571428571 nan nan 
367.3469387755102 -407.82828282828285 60.66977767694336 367.3469387755102 nan nan 
377.55102040816325 -407.82828282828285 60.66977767694336 377.55102040816325 nan nan 
387.7551020408163 -407.82828282828285 60.66977767694336 387.7551020408163 nan nan 
397.9591836734694 -407.82828282828285 60.66977767694336 397.9591836734694 nan nan 
408.1632653061224 -407.82828282828285 60.66977767694336 408.1632653061224 nan nan 
418.3673469387755 -407.82828282828285 60.66977767694336 418.3673469387755 nan nan 
428.57142857142856 -407.82828282828285 60.66977767694336 428.57142857142856 nan nan 
438.7755102040816 -407.82828282828285 60.66977767694336 438.7755102040816 nan nan 
448.9795918367347 -407.82828282828285 60.66977767694336 448.9795918367347 nan nan 
459.18367346938777 -407.82828282828285 60.66977767694336 459.18367346938777 nan nan 
469.3877551020408 -407.82828282828285 60.66977767694336 469.3877551020408 nan nan 
479.59183673469386 -407.82828282828285 60.66977767694336 479.59183673469386 nan nan 
489.7959183673469 -407.82828282828285 60.66977767694336 489.7959183673469 nan nan 
500.0 -407.82828282828285 60.66977767694336 500.0 nan nan 

0.0 -399.24242424242425 88.1397088461261 0.0 nan nan 
10.204081632653061 -399.24242424242425 88.1397088461261 10.204081632653061 nan nan 
20.408163265306122 -399.24242424242425 88.1397088461261 20.408163265306122 nan nan 
30.612244897959183 -399.24242424242425 88.1397088461261 30.612244897959183 nan nan 
40.816326530612244 -399.24242424242425 88.1397088461261 40.816326530612244 nan nan 
51.0204081632653 -399.24242424242425 88.1397088461261 51.0204081632653 nan nan 
61.224489795918366 -399.24242424242425 88.1397088461261 61.224489795918366 nan nan 
71.42857142857143 -399.24242424242425 88.1397088461261 71.42857142857143 nan nan 
81.63265306122449 -399.24242424242425 88.1397088461261 81.63265306122449 nan nan 
91.83673469387755 -399.24242424242425 88.1397088461261 91.83673469387755 nan nan 
102.0408163265306 -399.24242424242425 88.1397088461261 102.0408163265306 nan nan 
112.24489795918367 -399.24242424242425 88.1397088461261 112.24489795918367 nan nan 
122.44897959183673 -399.24242424242425 88.1397088461261 122.44897959183673 nan nan 
132.6530612244898 -399.24242424242425 88.1397088461261 132.6530612244898 nan nan 
142.85714285714286 -399.24242424242425 88.1397088461261 142.85714285714286 nan nan 
153.0612244897959 -399.24242424242425 88.1397088461261 153.0612244897959 nan nan 
163.26530612244898 -399.24242424242425 88.1397088461261 163.26530612244898 nan nan 
173.46938775510205 -399.24242424242425 88.1397088461261 173.46938775510205 nan nan 
183.6734693877551 -399.24242424242425 88.1397088461261 183.6734693877551 nan nan 
193.87755102040816 -399.24242424242425 88.1397088461261 193.87755102040816 nan nan 
204.0816326530612 -399.24242424242425 88.1397088461261 204.0816326530612 nan nan 
214.28571428571428 -399.24242424242425 88.1397088461261 214.28571428571428 nan nan 
224.48979591836735 -399.24242424242425 88.1397088461261 224.48979591836735 nan nan 
234.6938775510204 -399.24242424242425 88.1397088461261 234.6938775510204 nan nan 
244.89795918367346 -399.24242424242425 88.1397088461261 244.89795918367346 nan nan 
255.10204081632654 -399.24242424242425 88.1397088461261 255.10204081632654 nan nan 
265.3061224489796 -399.24242424242425 88.1397088461261 265.3061224489796 nan nan 
275.51020408163265 -399.24242424242425 88.1397088461261 275.51020408163265 nan nan 
285.7142857142857 -399.24242424242425 88.1397088461261 285.7142857142857 nan nan 
295.9183673469388 -399.24242424242425 88.1397088461261 295.9183673469388 nan nan 
306.1224489795918 -399.24242424242425 88.1397088461261 306.1224489795918 nan nan 
316.3265306122449 -399.24242424242425 88.1397088461261 316.3265306122449 nan nan 
326.53061224489795 -399.24242424242425 88.1397088461261 326.53061224489795 nan nan 
336.734693877551 -399.24242424242425 88.1397088461261 336.734693877551 nan nan 
346.9387755102041 -399.24242424242425 88.1397088461261 346.9387755102041 nan nan 
357.1428571428571 -399.24242424242425 88.1397088461261 357.1428571428571 nan nan 
367.3469387755102 -399.24242424242425 88.1397088461261 367.3469387755102 nan nan 
377.55102040816325 -399.24242424242425 88.1397088461261 377.55102040816325 nan nan 
387.7551020408163 -399.24242424242425 88.1397088461261 387.7551020408163 nan nan 
397.9591836734694 -399.24242424242425 88.1397088461261 397.9591836734694 nan nan 
408.1632653061224 -399.24242424242425 88.1397088461261 408.1632653061224 nan nan 
418.3673469387755 -399.24242424242425 88.1397088461261 418.3673469387755 nan nan 
428.57142857142856 -399.24242424242425 88.1397088461261 428.57142857142856 nan nan 
438.7755102040816 -399.24242424242425 88.1397088461261 438.7755102040816 nan nan 
448.9795918367347 -399.24242424242425 88.1397088461261 448.9795918367347 nan nan 
459.18367346938777 -399.24242424242425 88.1397088461261 459.18367346938777 nan nan 
469.3877551020408 -399.24242424242425 88.1397088461261 469.3877551020408 nan nan 
479.59183673469386 -399.24242424242425 88.1397088461261 479.59183673469386 nan nan 
489.7959183673469 -399.24242424242425 88.1397088461261 489.7959183673469 nan nan 
500.0 -399.24242424242425 88.1397088461261 500.0 nan nan 

0.0 -390.65656565656565 110.67743690535065 0.0 nan nan 
10.204081632653061 -390.65656565656565 110.67743690535065 10.204081632653061 nan nan 
20.408163265306122 -390.65656565656565 110.67743690535065 20.408163265306122 nan nan 
30.612244897959183 -390.65656565656565 110.67743690535065 30.612244897959183 nan nan 
40.816326530612244 -390.65656565656565 110.67743690535065 40.816326530612244 nan nan 
51.0204081632653 -390.65656565656565 110.67743690535065 51.0204081632653 nan nan 
61.224489795918366 -390.65656565656565 110.67743690535065 61.224489795918366 nan nan 
71.42857142857143 -390.65656565656565 110.67743690535065 71.42857142857143 nan nan 
81.63265306122449 -390.65656565656565 110.67743690535065 81.63265306122449 nan nan 
91.83673469387755 -390.65656565656565 110.67743690535065 91.83673469387755 nan nan 
102.0408163265306 -390.65656565656565 110.67743690535065 102.0408163265306 nan nan 
112.24489795918367 -390.65656565656565 110.67743690535065 112.24489795918367 nan nan 
122.44897959183673 -390.65656565656565 110.67743690535065 122.44897959183673 nan nan 
132.6530612244898 -390.65656565656565 110.67743690535065 132.6530612244898 nan nan 
142.85714285714286 -390.65656565656565 110.67743690535065 142.85714285714286 nan nan 
153.0612244897959 -390.65656565656565 110.67743690535065 153.0612244897959 nan nan 
163.26530612244898 -390.65656565656565 110.67743690535065 163.26530612244898 nan nan 
173.46938775510205 -390.65656565656565 110.67743690535065 173.46938775510205 nan nan 
183.6734693877551 -390.65656565656565 110.67743690535065 183.6734693877551 nan nan 
193.87755102040816 -390.65656565656565 110.67743690535065 193.87755102040816 nan nan 
204.0816326530612 -390.65656565656565 110.67743690535065 204.0816326530612 nan nan 
214.28571428571428 -390.65656565656565 110.67743690535065 214.28571428571428 nan nan 
224.48979591836735 -390.65656565656565 110.67743690535065 224.48979591836735 nan nan 
234.6938775510204 -390.65656565656565 110.67743690535065 234.6938775510204 nan nan 
244.89795918367346 -390.65656565656565 110.67743690535065 244.89795918367346 nan nan 
255.10204081632654 -390.65656565656565 110.67743690535065 255.10204081632654 nan nan 
265.3061224489796 -390.65656565656565 110.67743690535065 265.3061224489796 nan nan 
275.51020408163265 -390.65656565656565 110.67743690535065 275.51020408163265 nan nan 
285.7142857142857 -390.65656565656565 110.67743690535065 285.7142857142857 nan nan 
295.9183673469388 -390.65656565656565 110.67743690535065 295.9183673469388 nan nan 
306.1224489795918 -390.65656565656565 110.67743690535065 306.1224489795918 nan nan 
316.3265306122449 -390.65656565656565 110.67743690535065 316.3265306122449 nan nan 
326.53061224489795 -390.65656565656565 110.67743690535065 326.53061224489795 nan nan 
336.734693877551 -390.65656565656565 110.67743690535065 336.734693877551 nan nan 
346.9387755102041 -390.65656565656565 110.67743690535065 346.9387755102041 nan nan 
357.1428571428571 -390.65656565656565 110.67743690535065 357.1428571428571 nan nan 
367.3469387755102 -390.65656565656565 110.67743690535065 367.3469387755102 nan nan 
377.55102040816325 -390.65656565656565 110.67743690535065 377.55102040816325 nan nan 
387.7551020408163 -390.65656565656565 110.67743690535065 387.7551020408163 nan nan 
397.9591836734694 -390.65656565656565 110.67743690535065 397.9591836734694 nan nan 
408.1632653061224 -390.65656565656565 110.67743690535065 408.1632653061224 nan nan 
418.3673469387755 -390.65656565656565 110.67743690535065 418.3673469387755 nan nan 
428.57142857142856 -390.65656565656565 110.67743690535065 428.57142857142856 nan nan 
438.7755102040816 -390.65656565656565 110.67743690535065 438.7755102040816 nan nan 
448.9795918367347 -390.65656565656565 110.67743690535065 448.9795918367347 nan nan 
459.18367346938777 -390.65656565656565 110.67743690535065 459.18367346938777 nan nan 
469.3877551020408 -390.65656565656565 110.67743690535065 469.3877551020408 nan nan 
479.59183673469386 -390.65656565656565 110.67743690535065 479.59183673469386 nan nan 
489.7959183673469 -390.65656565656565 110.67743690535065 489.7959183673469 nan nan 
500.0 -390.65656565656565 110.67743690535065 500.0 nan nan 

0.0 -382.07070707070704 128.7224564039987 0.0 nan nan 
10.204081632653061 -382.07070707070704 128.7224564039987 10.204081632653061 nan nan 
20.408163265306122 -382.07070707070704 128.7224564039987 20.408163265306122 nan nan 
30.612244897959183 -382.07070707070704 128.7224564039987 30.612244897959183 nan nan 
40.816326530612244 -382.07070707070704 128.7224564039987 40.816326530612244 nan nan 
51.0204081632653 -382.07070707070704 128.7224564039987 51.0204081632653 nan nan 
61.224489795918366 -382.07070707070704 128.7224564039987 61.224489795918366 nan nan 
71.42857142857143 -382.07070707070704 128.7224564039987 71.42857142857143 nan nan 
81.63265306122449 -382.07070707070704 128.7224564039987 81.63265306122449 nan nan 
91.83673469387755 -382.07070707070704 128.7224564039987 91.83673469387755 nan nan 
102.0408163265306 -382.07070707070704 128.7224564039987 102.0408163265306 nan nan 
112.24489795918367 -382.07070707070704 128.7224564039987 112.24489795918367 nan nan 
122.44897959183673 -382.07070707070704 128.7224564039987 122.44897959183673 nan nan 
132.6530612244898 -382.07070707070704 128.7224564039987 132.6530612244898 nan nan 
142.85714285714286 -382.07070707070704 128.7224564039987 142.85714285714286 nan nan 
153.0612244897959 -382.07070707070704 128.7224564039987 153.0612244897959 nan nan 
163.26530612244898 -382.07070707070704 128.7224564039987 163.26530612244898 nan nan 
173.46938775510205 -382.07070707070704 128.7224564039987 173.46938775510205 nan nan 
183.6734693877551 -382.07070707070704 128.7224564039987 183.6734693877551 nan nan 
193.87755102040816 -382.07070707070704 128.7224564039987 193.87755102040816 nan nan 
204.0816326530612 -382.07070707070704 128.7224564039987 204.0816326530612 nan nan 
214.28571428571428 -382.07070707070704 128.7224564039987 214.28571428571428 nan nan 
224.48979591836735 -382.07070707070704 128.7224564039987 224.48979591836735 nan nan 
234.6938775510204 -382.07070707070704 128.7224564039987 234.6938775510204 nan nan 
244.89795918367346 -382.07070707070704 128.7224564039987 244.89795918367346 nan nan 
255.10204081632654 -382.07070707070704 128.7224564039987 255.10204081632654 nan nan 
265.3061224489796 -382.07070707070704 128.7224564039987 265.3061224489796 nan nan 
275.51020408163265 -382.07070707070704 128.7224564039987 275.51020408163265 nan nan 
285.7142857142857 -382.07070707070704 128.7224564039987 285.7142857142857 nan nan 
295.9183673469388 -382.07070707070704 128.7224564039987 295.9183673469388 nan nan 
306.1224489795918 -382.07070707070704 128.7224564039987 306.1224489795918 nan nan 
316.3265306122449 -382.07070707070704 128.7224564039987 316.3265306122449 nan nan 
326.53061224489795 -382.07070707070704 128.7224564039987 326.53061224489795 nan nan 
336.734693877551 -382.07070707070704 128.7224564039987 336.734693877551 nan nan 
346.9387755102041 -382.07070707070704 128.7224564039987 346.9387755102041 nan nan 
357.1428571428571 -382.07070707070704 128.7224564039987 357.1428571428571 nan nan 
367.3469387755102 -382.07070707070704 128.7224564039987 367.3469387755102 nan nan 
377.55102040816325 -382.07070707070704 128.7224564039987 377.55102040816325 nan nan 
387.7551020408163 -382.07070707070704 128.7224564039987 387.7551020408163 nan nan 
397.9591836734694 -382.07070707070704 128.7224564039987 397.9591836734694 nan nan 
408.1632653061224 -382.07070707070704 128.7224564039987 408.1632653061224 nan nan 
418.3673469387755 -382.07070707070704 128.7224564039987 418.3673469387755 nan nan 
428.57142857142856 -382.07070707070704 128.7224564039987 428.57142857142856 nan nan 
438.7755102040816 -382.07070707070704 128.7224564039987 438.7755102040816 nan nan 
448.9795918367347 -382.07070707070704 128.7224564039987 448.9795918367347 nan nan 
459.18367346938777 -382.07070707070704 128.7224564039987 459.18367346938777 nan nan 
