omega2 r U0 U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11
nan 0.025100000000000015 0.0449495898609553 0.0003100556988002983 8.460061272768819e-05 5.610108237109464e-05 4.6298638486866184e-05 4.233111861415318e-05 4.079518570066209e-05 4.0654079423599154e-05 4.108002864840273e-05 4.215040380467404e-05 4.366382484775311e-05 4.508025195659665e-05 
nan 0.026100000000000016 0.050096950199610496 0.00034426502655129205 9.387523554151125e-05 6.219195089468726e-05 5.125888845142069e-05 4.678964474294298e-05 4.500240193706892e-05 4.474147312750339e-05 4.508704369437194e-05 4.6117311631430295e-05 4.7603633922975505e-05 4.8950986374059095e-05 
nan 0.027100000000000016 0.05556551054314915 0.00038034210649991965 0.0001036436992786262 6.859464011971529e-05 5.645909271629917e-05 5.144765758039982e-05 4.937886395627659e-05 4.897082450849389e-05 4.92067137168937e-05 5.016430814776221e-05 5.158556505579143e-05 5.281881335116586e-05 
nan 0.028100000000000017 0.06135535909466808 0.0004182413744579367 0.00011389154270308596 7.52975718857717e-05 6.188752633879934e-05 5.629200825718272e-05 5.390917334770216e-05 5.33237344276489e-05 5.341707551684824e-05 5.4265170457237385e-05 5.557847390727323e-05 5.664739454229373e-05 
nan 0.029100000000000018 0.06746560996694263 0.0004579079792879416 0.00012460167346351814 8.22873337842767e-05 6.753086197346208e-05 6.130799708346865e-05 5.857636033980858e-05 5.77801791159296e-05 5.76944969317793e-05 5.8391984284905016e-05 5.954955559385232e-05 6.039886541363955e-05 
nan 0.03010000000000002 0.07389442971033845 0.0004992780457802172 0.00013575444597764395 8.954873777210632e-05 7.337422728804867e-05 6.647943828254521e-05 6.336196288263354e-05 6.2318611695365e-05 6.201380975951764e-05 6.251532034883858e-05 6.346457920988985e-05 6.403414267314307e-05 
nan 0.03110000000000002 0.08063906768558651 0.0005422789745370808 0.00014732774999807403 9.706488647550168e-05 7.940126943650456e-05 7.178873202837356e-05 6.824611378008717e-05 6.691607288701441e-05 6.634845322764629e-05 6.660442280167577e-05 6.728813588002354e-05 6.751324611916758e-05 
nan 0.03210000000000002 0.08769588998265926 0.0005868297759235353 0.00015929710900769274 0.00010481724656634083 8.559422601227076e-05 7.721694317047286e-05 7.320763515316223e-05 7.154831001136245e-05 7.067062684959796e-05 7.062740818471946e-05 7.09838982006972e-05 7.079563195816957e-05 
nan 0.03310000000000002 0.09506041656597423 0.0006328414349407053 0.00017163578753457152 0.00011278572855078533 9.193400186650867e-05 8.27438859888417e-05 7.82241394694281e-05 7.618990333280263e-05 7.495145144340159e-05 7.45514732590524e-05 7.451488883767264e-05 7.384053453756299e-05 
nan 0.03410000000000002 0.10272736130982481 0.0006802173037183183 0.0001843149064300225 0.0001209487722768295 9.840025114484654e-05 8.834821428916538e-05 8.327213633767074e-05 8.08143987570943e-05 7.916113703857257e-05 7.834311001893036e-05 7.784375597973388e-05 7.660731337229294e-05 
