mu sigma omega mu0 sigma0 omega0
224.48979591836735 -150.0 8.679770542041041 224.48979591836735 92.99999999999994 -7.835965358431994 
234.6938775510204 -150.0 8.679770542041041 234.6938775510204 92.99999999999993 -7.835965358431996 
244.89795918367346 -150.0 8.679770542041041 244.89795918367346 92.99999999999989 -7.835965358431995 
255.10204081632654 -150.0 8.679770542041041 255.10204081632654 92.99999999999973 -7.835965358431994 
265.3061224489796 -150.0 8.679770542041041 265.3061224489796 93.00000000000001 -7.835965358431992 
275.51020408163265 -150.0 8.679770542041041 275.51020408163265 92.99999999999999 -7.835965358431999 
285.7142857142857 -150.0 8.679770542041041 285.7142857142857 93.00000000000001 -7.835965358431992 
295.9183673469388 -150.0 8.679770542041041 295.9183673469388 93.00000000000017 -7.835965358431992 
306.1224489795918 -150.0 8.679770542041041 306.1224489795918 92.64003245320936 -7.8373437408755215 
316.3265306122449 -150.0 8.679770542041041 316.3265306122449 91.02487969889727 -7.855345147529741 
326.53061224489795 -150.0 8.679770542041041 326.53061224489795 87.90475433540738 -7.91343770322396 
336.734693877551 -150.0 8.679770542041041 336.734693877551 82.43401298654122 -8.04419971066526 
346.9387755102041 -150.0 8.679770542041041 346.9387755102041 72.61336624986818 -8.301030196363229 
357.1428571428571 -150.0 8.679770542041041 357.1428571428571 54.719043395751676 -8.77506907816101 
367.3469387755102 -150.0 8.679770542041041 367.3469387755102 34.98755029630895 -9.536236806506334 
377.55102040816325 -150.0 8.679770542041041 377.55102040816325 23.967748836284485 -10.505251166801603 
387.7551020408163 -150.0 8.679770542041041 387.7551020408163 17.97676898939299 -11.6112061444884 
397.9591836734694 -150.0 8.679770542041041 397.9591836734694 14.291768131435699 -12.832725541812184 
408.1632653061224 -150.0 8.679770542041041 408.1632653061224 11.806969736712903 -14.165046686979789 
418.3673469387755 -150.0 8.679770542041041 418.3673469387755 10.02089758114897 -15.608972683892913 
428.57142857142856 -150.0 8.679770542041041 428.57142857142856 8.676412290509745 -17.16758764033432 
438.7755102040816 -150.0 8.679770542041041 438.7755102040816 7.628562857018889 -18.84509009019516 
448.9795918367347 -150.0 8.679770542041041 448.9795918367347 6.78952144907563 -20.646310681720273 
459.18367346938777 -150.0 8.679770542041041 459.18367346938777 6.102991227796774 -22.576488322364387 
469.3877551020408 -150.0 8.679770542041041 469.3877551020408 5.531227647561867 -24.641156591003398 
479.59183673469386 -150.0 8.679770542041041 479.59183673469386 5.04797939203438 -26.846081890092574 
489.7959183673469 -150.0 8.677671677764899 489.7959183673469 4.63442365760165 -29.197227790596617 
500.0 -150.0 8.653819080404027 500.0 4.276712351024633 -31.70073348369852 

0.0 -146.96969696969697 7.3114095214981125 0.0 nan nan 
10.204081632653061 -146.96969696969697 7.3114095214981125 10.204081632653061 nan nan 
20.408163265306122 -146.96969696969697 7.3114095214981125 20.408163265306122 nan nan 
30.612244897959183 -146.96969696969697 7.3114095214981125 30.612244897959183 nan nan 
40.816326530612244 -146.96969696969697 7.3114095214981125 40.816326530612244 nan nan 
51.0204081632653 -146.96969696969697 7.3114095214981125 51.0204081632653 nan nan 
61.224489795918366 -146.96969696969697 7.3114095214981125 61.224489795918366 nan nan 
71.42857142857143 -146.96969696969697 7.3114095214981125 71.42857142857143 nan nan 
81.63265306122449 -146.96969696969697 7.3114095214981125 81.63265306122449 nan nan 
91.83673469387755 -146.96969696969697 7.3114095214981125 91.83673469387755 nan nan 
102.0408163265306 -146.96969696969697 7.3114095214981125 102.0408163265306 nan nan 
112.24489795918367 -146.96969696969697 7.3114095214981125 112.24489795918367 nan nan 
122.44897959183673 -146.96969696969697 7.3114095214981125 122.44897959183673 nan nan 
132.6530612244898 -146.96969696969697 7.3114095214981125 132.6530612244898 nan nan 
142.85714285714286 -146.96969696969697 7.3114095214981125 142.85714285714286 nan nan 
153.0612244897959 -146.96969696969697 7.3114095214981125 153.0612244897959 nan nan 
163.26530612244898 -146.96969696969697 7.3114095214981125 163.26530612244898 nan nan 
173.46938775510205 -146.96969696969697 7.3114095214981125 173.46938775510205 nan nan 
183.6734693877551 -146.96969696969697 7.3114095214981125 183.6734693877551 nan nan 
193.87755102040816 -146.96969696969697 7.3114095214981125 193.87755102040816 nan nan 
204.0816326530612 -146.96969696969697 7.3114095214981125 204.0816326530612 nan nan 
