sigma muu omega
-191.83673469387756 101.69491525423729 24.71446753367819 
-191.83673469387756 111.86440677966101 24.71446753367819 
-191.83673469387756 122.03389830508473 24.71446753367819 
-191.83673469387756 132.20338983050846 24.71446753367819 
-191.83673469387756 142.3728813559322 24.71446753367819 
-191.83673469387756 152.54237288135593 24.71446753367819 
-191.83673469387756 162.71186440677965 24.71446753367819 
-191.83673469387756 172.88135593220338 24.71446753367819 
-191.83673469387756 183.0508474576271 24.71446753367819 
-191.83673469387756 193.22033898305085 24.71446753367819 
-191.83673469387756 203.38983050847457 24.71446753367819 
-191.83673469387756 213.5593220338983 24.71446753367819 
-191.83673469387756 223.72881355932202 24.71446753367819 
-191.83673469387756 233.89830508474574 24.71446753367819 
-191.83673469387756 244.06779661016947 24.71446753367819 
-191.83673469387756 254.23728813559322 24.71446753367819 
-191.83673469387756 264.4067796610169 24.71446753367819 
-191.83673469387756 274.5762711864407 24.71446753367819 
-191.83673469387756 284.7457627118644 24.71446753367819 
-191.83673469387756 294.91525423728814 24.71446753367819 
-191.83673469387756 305.08474576271186 24.71446753367819 
-191.83673469387756 315.2542372881356 24.71446753367819 
-191.83673469387756 325.4237288135593 24.71446753367819 
-191.83673469387756 335.59322033898303 24.71446753367819 
-191.83673469387756 345.76271186440675 24.71446753367819 
-191.83673469387756 355.9322033898305 24.71446753367819 
-191.83673469387756 366.1016949152542 24.71446753367819 
-191.83673469387756 376.2711864406779 24.71446753367819 
-191.83673469387756 386.4406779661017 24.71446753367819 
-191.83673469387756 396.6101694915254 24.71446753367819 
-191.83673469387756 406.77966101694915 24.71446753367819 
-191.83673469387756 416.9491525423729 24.71446753367819 
-191.83673469387756 427.1186440677966 24.71446753367819 
-191.83673469387756 437.2881355932203 24.71446753367819 
-191.83673469387756 447.45762711864404 24.71446753367819 
-191.83673469387756 457.62711864406776 24.71446753367819 
-191.83673469387756 467.7966101694915 24.71446753367819 
-191.83673469387756 477.9661016949152 24.71446753367819 
-191.83673469387756 488.13559322033893 24.71446753367819 
-191.83673469387756 498.3050847457627 24.71446753367819 
-191.83673469387756 508.47457627118644 24.71446753367819 
-191.83673469387756 518.6440677966101 24.71446753367819 
-191.83673469387756 528.8135593220338 24.71446753367819 
-191.83673469387756 538.9830508474575 24.71446753367819 
-191.83673469387756 549.1525423728814 24.71446753367819 
-191.83673469387756 559.3220338983051 24.71446753367819 
-191.83673469387756 569.4915254237288 24.71446753367819 
-191.83673469387756 579.6610169491526 24.71446753367819 
-191.83673469387756 589.8305084745763 24.71446753367819 
-191.83673469387756 600.0 24.71446753367819 

-183.6734693877551 0.0 21.27062004794552 
-183.6734693877551 10.169491525423728 21.27062004794552 
-183.6734693877551 20.338983050847457 21.27062004794552 
-183.6734693877551 30.508474576271183 21.27062004794552 
-183.6734693877551 40.67796610169491 21.27062004794552 
-183.6734693877551 50.847457627118644 21.27062004794552 
-183.6734693877551 61.01694915254237 21.27062004794552 
-183.6734693877551 71.1864406779661 21.27062004794552 
-183.6734693877551 81.35593220338983 21.27062004794552 
-183.6734693877551 91.52542372881355 21.27062004794552 
-183.6734693877551 101.69491525423729 21.27062004794552 
-183.6734693877551 111.86440677966101 21.27062004794552 
-183.6734693877551 122.03389830508473 21.27062004794552 
-183.6734693877551 132.20338983050846 21.27062004794552 
-183.6734693877551 142.3728813559322 21.27062004794552 
