mub sigma muu mud mue nu nd ne epsilon P
160.6425702811245 93.0 53.547523427041504 53.547523427041504 0.0 -6.205020211689631e-17 -6.205020211689631e-17 -1.005218515985007e-25 -6.645269303014332e-18 -0.0 
168.67469879518075 93.0 56.224899598393584 56.224899598393584 0.0 -6.173652016353327e-17 -6.173652016353327e-17 -1.005218515985007e-25 -6.942259295497721e-18 -0.0 
176.70682730923696 93.0 58.90227576974565 58.90227576974565 0.0 -6.140810647945489e-17 -6.140810647945489e-17 -1.005218515985007e-25 -7.234154444701514e-18 -0.0 
184.73895582329317 93.0 61.57965194109772 61.57965194109772 0.0 -6.106504358048356e-17 -6.106504358048356e-17 -1.005218515985007e-25 -7.520728258908285e-18 -0.0 
192.7710843373494 93.0 64.2570281124498 64.2570281124498 0.0 -6.070741808591775e-17 -6.070741808591775e-17 -1.005218515985007e-25 -7.801756541162123e-18 -0.0 
200.80321285140565 93.0 66.93440428380188 66.93440428380188 0.0 -6.033532075703561e-17 -6.033532075703561e-17 -1.005218515985007e-25 -8.077017504288571e-18 -0.0 
208.83534136546186 93.0 69.61178045515395 69.61178045515395 0.0 -5.9948846537851e-17 -5.9948846537851e-17 -1.005218515985007e-25 -8.3462918874652e-18 -0.0 
216.86746987951807 93.0 72.28915662650603 72.28915662650603 0.0 -5.954809459820634e-17 -5.954809459820634e-17 -1.005218515985007e-25 -8.609363074439474e-18 -0.0 
224.8995983935743 93.0 74.96653279785811 74.96653279785811 0.0 -5.913316837928408e-17 -5.913316837928408e-17 -1.005218515985007e-25 -8.866017213493735e-18 -0.0 
232.93172690763055 93.0 77.64390896921019 77.64390896921019 0.0 -5.870417564163732e-17 -5.870417564163732e-17 -1.005218515985007e-25 -9.11604333926363e-18 -0.0 
240.96385542168676 93.0 80.32128514056225 80.32128514056225 0.0 -5.826122851583291e-17 -5.826122851583291e-17 -1.005218515985007e-25 -9.359233496519345e-18 -0.0 
248.99598393574297 93.0 82.99866131191432 82.99866131191432 0.0 -5.780444355582075e-17 -5.780444355582075e-17 -1.005218515985007e-25 -9.59538286602647e-18 -0.0 
257.0281124497992 93.0 85.6760374832664 85.6760374832664 0.0 -5.733394179513834e-17 -5.733394179513834e-17 -1.005218515985007e-25 -9.824289892607374e-18 -0.0 
265.06024096385545 93.0 88.35341365461848 88.35341365461848 0.0 -5.684984880608158e-17 -5.684984880608158e-17 -1.005218515985007e-25 -1.0045756415532492e-17 -0.0 
273.0923694779117 93.0 91.03078982597056 91.03078982597056 0.0 -5.635229476196785e-17 -5.635229476196785e-17 -1.005218515985007e-25 -1.0259587801375676e-17 -0.0 
281.12449799196787 93.0 93.70816599732262 93.70816599732262 0.0 -5.584141450263686e-17 -5.584141450263686e-17 -1.005218515985007e-25 -1.0465593079476788e-17 -0.0 
289.1566265060241 93.0 96.3855421686747 96.3855421686747 0.0 -5.531734760334316e-17 -5.531734760334316e-17 -1.005218515985007e-25 -1.0663585080162539e-17 -0.0 
297.18875502008035 93.0 99.06291834002678 99.06291834002678 0.0 -5.478023844720063e-17 -5.478023844720063e-17 -1.005218515985007e-25 -1.0853380575884463e-17 -0.0 
305.22088353413653 93.0 101.74029451137885 101.74029451137885 0.0 -5.4230236301359494e-17 -5.4230236301359494e-17 -1.005218515985007e-25 -1.103480042544397e-17 -0.0 
313.2530120481928 93.0 104.41767068273093 104.41767068273093 0.0 -5.366749539710052e-17 -5.366749539710052e-17 -1.005218515985007e-25 -1.1207669721482843e-17 -0.0 
321.285140562249 93.0 107.09504685408301 107.09504685408301 0.0 -5.309217501405477e-17 -5.309217501405477e-17 -1.005218515985007e-25 -1.1371817941430745e-17 -0.0 
329.31726907630525 93.0 109.77242302543509 109.77242302543509 0.0 -5.250443956876239e-17 -5.250443956876239e-17 -1.005218515985007e-25 -1.1527079102111157e-17 -0.0 
337.3493975903615 93.0 112.44979919678717 112.44979919678717 0.0 -5.1904458707811966e-17 -5.1904458707811966e-17 -1.005218515985007e-25 -1.1673291918222776e-17 -0.0 
345.3815261044177 93.0 115.12717536813922 115.12717536813922 0.0 -5.129240740580867e-17 -5.129240740580867e-17 -1.005218515985007e-25 -1.1810299964925157e-17 -0.0 
