sigma mu omega domega
-118.36734693877551 20.338983050847457 0.5854534614849031 -0.10794672909029995 
-110.20408163265306 20.338983050847457 -0.23705895551287698 -0.09142883758073943 
-102.0408163265306 20.338983050847457 -0.907262254119007 -0.0714746721892047 
-93.87755102040816 20.338983050847457 -1.4039923790100965 -0.04971621523521034 
-85.71428571428571 20.338983050847457 -1.7189555640816243 -0.027670064935633048 
-77.55102040816327 20.338983050847457 -1.8557485412245138 -0.006727302882789466 
-69.38775510204081 20.338983050847457 -1.8287890805353297 0.011858601639529473 
-61.22448979591837 20.338983050847457 -1.6621387185383187 0.026986487171928364 
-53.061224489795904 20.338983050847457 -1.3881933716058863 0.037725743841860004 
-44.897959183673464 20.338983050847457 -1.0462082068344818 0.043339585813692405 
-36.734693877551024 20.338983050847457 -0.680608297096623 0.04331580666452052 
-28.571428571428555 20.338983050847457 -0.3390113633321058 0.03740942957800151 
-20.408163265306115 20.338983050847457 -0.0698420999047609 0.025706167501499 
-12.244897959183675 20.338983050847457 0.08068116730461215 0.008725494430233382 
-4.081632653061206 20.338983050847457 0.0726149520174163 -0.012332082831004162 
4.081632653061234 20.338983050847457 -0.12065896054851652 -0.03502002574764942 
12.244897959183675 20.338983050847457 -0.49914057039318593 -0.05607760300888691 
20.408163265306115 20.338983050847457 -1.0362116627344242 -0.07305827608015251 
28.571428571428584 20.338983050847457 -1.6919287512936363 -0.08476153815665505 
36.734693877551024 20.338983050847457 -2.4200735101900173 -0.09066791524317404 
44.897959183673464 20.338983050847457 -3.172221245059742 -0.09069169439234585 
53.06122448979593 20.338983050847457 -3.900754234963012 -0.08507785242051341 
61.22448979591837 20.338983050847457 -4.5612474070273095 -0.07433859575058194 
69.38775510204084 20.338983050847457 -5.114445594156187 -0.059210710218182916 
77.55102040816325 20.338983050847457 -5.527952879977234 -0.04062480569586402 
85.71428571428572 20.338983050847457 -5.777707727966211 -0.01968204364302045 
93.87755102040819 20.338983050847457 -5.849292368026548 0.002364106656556797 
102.0408163265306 20.338983050847457 -5.739110068267324 0.024122563610551314 
110.20408163265307 20.338983050847457 -5.455454594793057 0.04407672900208591 
118.36734693877554 20.338983050847457 -5.019490002927146 0.060594620511646366 
126.53061224489795 20.338983050847457 -4.466154668072301 0.0719374848179246 
134.69387755102042 20.338983050847457 -3.845000454879399 0.07626721024605927 
142.8571428571429 20.338983050847457 -3.2209757252794944 0.0716527742514587 
151.0204081632653 20.338983050847457 -2.6751592426106856 0.05607590316459173 
159.18367346938777 20.338983050847457 -2.3054507756535094 0.02743608055377413 
167.34693877551024 20.338983050847457 -2.2272232335694744 -0.01644498925044614 
175.51020408163265 20.338983050847457 -2.5739403960689526 -0.07781937799950789 
183.67346938775512 20.338983050847457 -3.4977436907043002 -0.15900932289983066 
191.8367346938776 20.338983050847457 -5.170010974025377 -0.26240395339838585 
200.0 20.338983050847457 -7.781889868637118 -0.3199551645899396 

-200.0 30.508474576271183 1.6885318470935837 0.2726030560112894 
-191.83673469387756 30.508474576271183 3.9138629165734953 0.21505184481973302 
-183.6734693877551 30.508474576271183 5.199582374762693 0.11165721432117469 
-175.51020408163265 30.508474576271183 5.736837844266148 0.030467269420854634 
-167.3469387755102 30.508474576271183 5.697007181633788 -0.030907119328207444 
-159.18367346938777 30.508474576271183 5.232231814417864 -0.07478818913242903 
-151.0204081632653 30.508474576271183 4.475975522328822 -0.10342801174324484 
-142.85714285714286 30.508474576271183 3.5436112145281515 -0.11900488283011221 
-134.69387755102042 30.508474576271183 2.53303865979638 -0.12361931882471301 
-126.53061224489795 30.508474576271183 1.5253366214716115 -0.11928959339657791 
-118.36734693877551 30.508474576271183 0.5854534614849031 -0.10794672909029995 
-110.20408163265306 30.508474576271183 -0.23705895551287698 -0.09142883758073943 
-102.0408163265306 30.508474576271183 -0.907262254119007 -0.0714746721892047 
-93.87755102040816 30.508474576271183 -1.4039923790100965 -0.04971621523521034 
-85.71428571428571 30.508474576271183 -1.7189555640816243 -0.027670064935633048 
-77.55102040816327 30.508474576271183 -1.8557485412245138 -0.006727302882789466 
-69.38775510204081 30.508474576271183 -1.8287890805353297 0.011858601639529473 
-61.22448979591837 30.508474576271183 -1.6621387185383187 0.026986487171928364 
-53.061224489795904 30.508474576271183 -1.3881933716058863 0.037725743841860004 
-44.897959183673464 30.508474576271183 -1.0462082068344818 0.043339585813692405 
-36.734693877551024 30.508474576271183 -0.680608297096623 0.04331580666452052 
-28.571428571428555 30.508474576271183 -0.3390113633321058 0.03740942957800151 
-20.408163265306115 30.508474576271183 -0.0698420999047609 0.025706167501499 
-12.244897959183675 30.508474576271183 0.08068116730461215 0.008692444590601579 
-4.081632653061206 30.508474576271183 0.07207536279893789 -0.012365132670635964 
4.081632653061234 30.508474576271183 -0.12119854976699489 -0.034986975908017616 
12.244897959183675 30.508474576271183 -0.49914057039318593 -0.0560445531692551 
20.408163265306115 30.508474576271183 -1.0362116627344242 -0.07305827608015251 
28.571428571428584 30.508474576271183 -1.6919287512936363 -0.08476153815665505 
36.734693877551024 30.508474576271183 -2.4200735101900173 -0.09066791524317404 
44.897959183673464 30.508474576271183 -3.172221245059742 -0.09069169439234585 
53.06122448979593 30.508474576271183 -3.900754234963012 -0.08507785242051341 
61.22448979591837 30.508474576271183 -4.5612474070273095 -0.07433859575058194 
69.38775510204084 30.508474576271183 -5.114445594156187 -0.059210710218182916 
77.55102040816325 30.508474576271183 -5.527952879977234 -0.04062480569586402 
85.71428571428572 30.508474576271183 -5.777707727966211 -0.01968204364302045 
93.87755102040819 30.508474576271183 -5.849292368026548 0.002364106656556797 
102.0408163265306 30.508474576271183 -5.739110068267324 0.024122563610551314 
110.20408163265307 30.508474576271183 -5.455454594793057 0.04407672900208591 
118.36734693877554 30.508474576271183 -5.019490002927146 0.060594620511646366 
126.53061224489795 30.508474576271183 -4.466154668072301 0.0719374848179246 
134.69387755102042 30.508474576271183 -3.845000454879399 0.07626721024605927 
142.8571428571429 30.508474576271183 -3.2209757252794944 0.0716527742514587 
151.0204081632653 30.508474576271183 -2.6751592426106856 0.05607590316459173 
159.18367346938777 30.508474576271183 -2.3054507756535094 0.02743608055377413 
167.34693877551024 30.508474576271183 -2.2272232335694744 -0.01644498925044614 
175.51020408163265 30.508474576271183 -2.5739403960689526 -0.07781937799950789 
183.67346938775512 30.508474576271183 -3.4977436907043002 -0.15900932289983066 
191.8367346938776 30.508474576271183 -5.170010974025377 -0.26240395339838585 
200.0 30.508474576271183 -7.781889868637118 -0.3199551645899396 

-200.0 40.67796610169491 1.6885318470935837 0.2726030560112894 
-191.83673469387756 40.67796610169491 3.9138629165734953 0.21505184481973302 
-183.6734693877551 40.67796610169491 5.199582374762693 0.11165721432117469 
-175.51020408163265 40.67796610169491 5.736837844266148 0.030467269420854634 
-167.3469387755102 40.67796610169491 5.697007181633788 -0.030907119328207444 
-159.18367346938777 40.67796610169491 5.232231814417864 -0.07478818913242903 
-151.0204081632653 40.67796610169491 4.475975522328822 -0.10342801174324484 
-142.85714285714286 40.67796610169491 3.5436112145281515 -0.11900488283011221 
-134.69387755102042 40.67796610169491 2.53303865979638 -0.12361931882471301 
-126.53061224489795 40.67796610169491 1.5253366214716115 -0.11928959339657791 
-118.36734693877551 40.67796610169491 0.5854534614849031 -0.10794672909029995 
-110.20408163265306 40.67796610169491 -0.23705895551287698 -0.09142883758073943 
-102.0408163265306 40.67796610169491 -0.907262254119007 -0.0714746721892047 
-93.87755102040816 40.67796610169491 -1.4039923790100965 -0.04971621523521034 
-85.71428571428571 40.67796610169491 -1.7189555640816243 -0.027670064935633048 
-77.55102040816327 40.67796610169491 -1.8557485412245138 -0.006727302882789466 
-69.38775510204081 40.67796610169491 -1.8287890805353297 0.011858601639529473 
-61.22448979591837 40.67796610169491 -1.6621387185383187 0.026986487171928364 
-53.061224489795904 40.67796610169491 -1.3881933716058863 0.037725743841860004 
-44.897959183673464 40.67796610169491 -1.0462082068344818 0.043339585813692405 
-36.734693877551024 40.67796610169491 -0.680608297096623 0.04331580666452052 
-28.571428571428555 40.67796610169491 -0.3390113633321058 0.03740942957800151 
-20.408163265306115 40.67796610169491 -0.0698420999047609 0.025706019986390292 
-12.244897959183675 40.67796610169491 0.08067875889467412 0.008582620550125365 
-4.081632653061206 40.67796610169491 0.07028231724014251 -0.01247480919600347 
4.081632653061234 40.67796610169491 -0.12299159532579022 -0.034877299382650113 
12.244897959183675 40.67796610169491 -0.499142978803124 -0.055934729128778886 
20.408163265306115 40.67796610169491 -1.0362116627344242 -0.07305812856504379 
28.571428571428584 40.67796610169491 -1.6919287512936363 -0.08476153815665505 
36.734693877551024 40.67796610169491 -2.4200735101900173 -0.09066791524317404 
44.897959183673464 40.67796610169491 -3.172221245059742 -0.09069169439234585 
53.06122448979593 40.67796610169491 -3.900754234963012 -0.08507785242051341 
61.22448979591837 40.67796610169491 -4.5612474070273095 -0.07433859575058194 
69.38775510204084 40.67796610169491 -5.114445594156187 -0.059210710218182916 
77.55102040816325 40.67796610169491 -5.527952879977234 -0.04062480569586402 
85.71428571428572 40.67796610169491 -5.777707727966211 -0.01968204364302045 
93.87755102040819 40.67796610169491 -5.849292368026548 0.002364106656556797 
102.0408163265306 40.67796610169491 -5.739110068267324 0.024122563610551314 
