Pcs r0 P0 nu0 nd0 ns0 ne0 r1 P1 nu1 nd1 ns1 ne1 r2 P2 nu2 nd2 ns2 ne2
nan 0.0811 0.0005999175739181705 0.7177419319954951 1.4067242423297757 0.01738784138883441 0.0037905934241248143 0.0811 0.0007998610615864276 0.8818572151455025 1.596999911910091 0.1574788742899482 0.003078548030322224 0.0811 0.0009997792008291572 1.0691069176296883 1.7381531109880604 0.3942512338074484 0.0019364968212895232 
nan 0.0911 0.0005998959956015126 0.7177260474690309 1.406700435405267 0.01737983844765397 0.003790607028378408 0.0911 0.0007998246909673744 0.8818245339534692 1.5969706929692542 0.15744212049253103 0.0030787514817179917 0.0911 0.0009997214042983095 1.0690515817431907 1.73811772027089 0.394175071619592 0.0019367905319666943 
nan 0.1011 0.0005998719120306727 0.7177083187404918 1.4066738644840049 0.017370906360693623 0.0037906222120931677 0.1011 0.0007997840987072889 0.8817880593626742 1.5969380825029837 0.1574011005774807 0.003078978548294992 0.1011 0.0009996569007266157 1.0689898243631268 1.738078222611968 0.394090071134741 0.0019371183265149878 
nan 0.11109999999999999 0.0005998453235145639 0.7176887460372791 1.4066445299068069 0.017361045242522646 0.0037906389750743375 0.11109999999999999 0.0007997392856584435 0.881747792138936 1.5969020811959669 0.1573558154060487 0.003079229225285749 0.11109999999999999 0.0009995856919839553 1.0689216472797671 1.7380346191562832 0.39399623481695545 0.0019374801954320415 
nan 0.12109999999999999 0.0005998162303942158 0.7176673296104363 1.4066124320499245 0.017350255219621784 0.0037906573171069117 0.12109999999999999 0.0007996902527616676 0.8817037331276462 1.5968626898040346 0.15730626592897656 0.003079503507427414 0.12109999999999999 0.0009995077801343885 1.0688470524692966 1.7379869111677277 0.3938935653861796 0.001937876128228704 
nan 0.1311 0.000599784633042767 0.7176440697346431 1.4065775713250337 0.01733853643038017 0.0037906772379556414 0.1311 0.0007996370010463089 0.8816558832537357 1.5968199091541302 0.1572524531864563 0.003079801388961982 0.1311 0.00099942316743604 1.0687660420937013 1.7379351000290253 0.3937820658180889 0.0019383061134296271 
nan 0.1411 0.0005997505318654551 0.7176189667082089 1.4065399481792251 0.017325889025091933 0.003790698737365041 0.1411 0.0007995795316301914 0.8816042435216368 1.596773740144276 0.15719437830808872 0.0030801228636365263 0.1411 0.0009993318563409701 1.0686786185006474 1.7378791872416532 0.3936617393439201 0.0019387701385739197 
nan 0.1511 0.0005997139272996077 0.717592020853065 1.4064995630949937 0.01731231316595258 0.0037907218150593927 0.1511 0.0007995178457195696 0.8815488150152417 1.5967241837435373 0.1571320425128367 0.0030804679247034513 0.1511 0.0009992338494950357 1.068584784223346 1.7378191744257565 0.39353258945028813 0.0019392681902158544 
nan 0.16110000000000002 0.0005996748198146311 0.7175632325147573 1.4064564165902258 0.01729780902705498 0.0037907464707427553 0.16110000000000002 0.0007994519446090797 0.8814895988978592 1.596671240991981 0.15706544710897596 0.003080836564920771 0.16110000000000002 0.0009991291497377403 1.068484541980411 1.737755063320057 0.39339461987898855 0.0019398002539256283 
nan 0.17110000000000003 0.0005996332099119993 0.7175326020624376 1.4064105092181876 0.01728237679438522 0.0037907727040989696 0.17110000000000003 0.0007993818296816869 0.8814265964121667 1.5966149130006353 0.15699459349404166 0.003081228776552401 0.17110000000000003 0.0009990177601020725 1.0683778946757039 1.737686855781753 0.39324783462678453 0.0019403663142901866 
