sigma mu omega
-50.50505050505049 275 -18.57925005891021 
-46.46464646464645 275 -16.411287356702374 
-42.42424242424241 275 -14.3028874714811 
-38.383838383838366 275 -12.284717980920163 
-34.343434343434325 275 -10.384898805209025 
-30.303030303030283 275 -8.628998494799731 
-26.26262626262624 275 -7.0400206673256385 
-22.2222222222222 275 -5.638380757926011 
-18.18181818181816 275 -4.441872459255171 
-14.141414141414117 275 -3.4656222391228995 
-10.101010101010075 275 -2.722028756722215 
-6.060606060606062 275 -2.220680917039861 
-2.0202020202020208 275 -1.9682404797259778 
2.0202020202020208 275 -1.9682404797259778 
6.060606060606062 275 -2.220680917039861 
10.101010101010104 275 -2.7220287567222177 
14.141414141414145 275 -3.465622239122905 
18.181818181818187 275 -4.441872459255181 
22.22222222222223 275 -5.638380757926019 
26.26262626262627 275 -7.040020667325648 
30.30303030303031 275 -8.628998494799744 
34.34343434343435 275 -10.384898805209035 
38.383838383838395 275 -12.284717980920178 
42.424242424242436 275 -14.302887471481117 
46.46464646464648 275 -16.411287356702385 
50.50505050505052 275 -18.579250058910226 
54.54545454545456 275 -20.773553232150878 
58.5858585858586 275 -22.958399817299615 
62.626262626262644 275 -25.0953816638595 
66.66666666666669 275 -27.14342034757083 
70.70707070707073 275 -29.058673358101547 
74.74747474747477 275 -30.794381517719746 
78.78787878787881 275 -32.300599877784165 
82.82828282828285 275 -33.523627237704034 
86.8686868686869 275 -34.40380470526657 
90.90909090909093 275 -34.876275116612554 
94.94949494949498 275 -34.8824853588678 
98.98989898989902 275 -34.36315196631621 
103.03030303030306 275 -33.25713223053351 
107.0707070707071 275 -31.501453536111043 
111.11111111111114 275 -29.031341521348846 
115.15151515151518 275 -25.780247154478854 
119.19191919191923 275 -21.679872805893893 
123.23232323232327 275 -16.660197388214844 
127.27272727272731 275 -10.649500628582663 
131.31313131313135 275 -3.5743865311102736 
135.3535353535354 275 4.640193918187221 
139.39393939393943 275 14.070920756579804 
143.43434343434348 275 24.796083716837465 
147.47474747474752 275 36.89556152719321 
151.51515151515156 275 50.45080180314465 
155.5555555555556 275 65.54480149818083 
