nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
6.29458589212406e-07 7.29727457487442e-07 0.0064373088618222924 893.4079403047351 893.4878283606886 927.0304445624312 2.5771193735088087e-10 3.143224307336004e-10 5.621164420718817e-07 6.517015150507126e-07 0.005986720988414962 
7.29727457487442e-07 9.65971146546113e-07 0.006437312492236148 893.4878283606886 893.617204728216 927.0304524803536 3.143224307336004e-10 4.281675684734906e-10 6.517015150507126e-07 8.62798298499097e-07 0.005986724363275748 
9.65971146546113e-07 1.53107000415745e-06 0.006437319793090475 893.617204728216 893.9010561001653 927.0304684034962 4.281675684734906e-10 7.93920039501866e-10 8.62798298499097e-07 1.367864605810678e-06 0.005986731150206367 
1.53107000415745e-06 2.50562661931723e-06 0.0064373432486860595 893.9010561001653 894.2269699933049 927.0305195600841 7.93920039501866e-10 1.4704996958069155e-09 1.367864605810678e-06 2.2391903231391555e-06 0.005986752954709347 
2.50562661931723e-06 3.97141379770464e-06 0.006437386637535232 894.2269699933049 894.6015960952134 927.0306141910421 1.4704996958069155e-09 2.722546550555927e-09 2.2391903231391555e-06 3.5502252227437315e-06 0.005986793289318955 
3.97141379770464e-06 4.82727428613838e-06 0.0064374669309221685 894.6015960952134 894.7786365465321 927.0307893106929 2.722546550555927e-09 3.533942817342426e-09 3.5502252227437315e-06 4.315956776381688e-06 0.005986867930672158 
4.82727428613838e-06 6.07736284802167e-06 0.006437518965519885 894.7786365465321 895.0029850919946 927.0309027980039 3.533942817342426e-09 4.807210805222776e-09 4.315956776381688e-06 5.434653112505372e-06 0.005986916302436448 
6.07736284802167e-06 7.92625465087822e-06 0.006437600619811684 895.0029850919946 895.2413614551987 927.0310808857843 4.807210805222776e-09 6.541102212248078e-09 5.434653112505372e-06 7.089645350123476e-06 0.0059869922088973335 
7.92625465087822e-06 9.97703609874371e-06 0.0064377118137443415 895.2413614551987 895.4938909967458 927.0313233994382 6.541102212248078e-09 8.894151385928924e-09 7.089645350123476e-06 8.925855260222595e-06 0.005987095575636715 
9.97703609874371e-06 1.25609035335829e-05 0.006437862714077716 895.4938909967458 895.7668576469343 927.0316525126402 8.894151385928924e-09 1.2096045884863337e-08 8.925855260222595e-06 1.1240054409103117e-05 0.005987235853753155 
1.25609035335829e-05 1.5214353983086e-05 0.0064380680506056255 895.7668576469343 896.01058667036 927.0321003510294 1.2096045884863337e-08 1.562249889051235e-08 1.1240054409103117e-05 1.3617257606623216e-05 0.005987426736176852 
1.5214353983086e-05 1.99041938317933e-05 0.00643829420097262 896.01058667036 896.3189401434641 927.0325935843426 1.562249889051235e-08 2.124609917031723e-08 1.3617257606623216e-05 1.7820154499079114e-05 0.005987636967306264 
1.99041938317933e-05 2.50558859045481e-05 0.006438654840761403 896.3189401434641 896.645423173328 927.0333801387062 2.124609917031723e-08 2.888570709759934e-08 1.7820154499079114e-05 2.243857609708704e-05 0.00598797222084184 
2.50558859045481e-05 3.02437264418389e-05 0.006439144766512202 896.645423173328 896.9316212862257 927.0344486653887 2.888570709759934e-08 3.713074147009906e-08 2.243857609708704e-05 2.709098743451449e-05 0.005988427659607151 
3.02437264418389e-05 3.97148963129425e-05 0.00643967351807822 896.9316212862257 897.2993599345792 927.035601871065 3.713074147009906e-08 5.048757232335372e-08 2.709098743451449e-05 3.558778951339019e-05 0.005988919191150433 
3.97148963129425e-05 5.00057205192782e-05 0.006440530087609847 897.2993599345792 897.6884584434497 927.0374700468009 5.048757232335372e-08 6.865660718962678e-08 3.558778951339019e-05 4.48237927059396e-05 0.005989715464808738 
5.00057205192782e-05 6.15115619502737e-05 0.006441695262332541 897.6884584434497 898.0646347718081 927.0400112895891 6.865660718962678e-08 9.050189129541711e-08 4.48237927059396e-05 5.515466758299818e-05 0.005990798620238331 
6.15115619502737e-05 6.54540322464242e-05 0.006443096193809501 898.0646347718081 898.1070353953446 927.0430667171945 9.050189129541711e-08 9.33105706804473e-08 5.515466758299818e-05 5.869534561619276e-05 0.005992100936969204 
6.54540322464242e-05 8.48543390899079e-05 0.006443276313570824 898.1070353953446 898.5369825971068 927.0434595578865 9.33105706804473e-08 1.268898931059193e-07 5.869534561619276e-05 7.612321527800619e-05 0.0059922683776917444 
8.48543390899079e-05 0.000101951949234728 0.006445429745383978 898.5369825971068 898.8986698252737 927.0481561866059 1.268898931059193e-07 1.6209200806496433e-07 7.612321527800619e-05 9.148920527994672e-05 0.005994270224552345 
0.000101951949234728 0.000110516834614163 0.006447687246392564 898.8986698252737 899.0647504153086 927.053079789947 1.6209200806496433e-07 1.8050446181127332e-07 9.148920527994672e-05 9.918888695509398e-05 0.005996368814941523 
0.000110516834614163 0.000125584418787288 0.006448868031494572 899.0647504153086 899.2665895504316 927.0556550789286 1.8050446181127332e-07 2.0534567059442918e-07 9.918888695509398e-05 0.00011273717347024342 0.005997466481900402 
0.000125584418787288 0.000163471959083754 0.006450461090716943 899.2665895504316 899.7583217046262 927.0591295366056 2.0534567059442918e-07 2.791827308720005e-07 0.00011273717347024342 0.0001468178292744079 0.005998947402068653 
0.000163471959083754 0.000199040377780961 0.006455196239109067 899.7583217046262 900.202257692253 927.0694568819117 2.791827308720005e-07 3.6300620674079026e-07 0.0001468178292744079 0.00017882887752535437 0.0060033492326190055 
0.000199040377780961 0.000250584885047483 0.006460571813319227 900.202257692253 900.6619732046496 927.0811809941231 3.6300620674079026e-07 4.7048500454127873e-07 0.00017882887752535437 0.000225241604258278 0.0060083464079606136 
0.000250584885047483 0.000257211369324703 0.006467464396185867 900.6619732046496 900.7248475354605 927.0962136979414 4.7048500454127873e-07 4.871498355591245e-07 0.000225241604258278 0.00023121003558469776 0.006014753806276511 
0.000257211369324703 0.000259308963120565 0.006468533106769719 900.7248475354605 900.7445249608047 927.0985445527147 4.871498355591245e-07 4.924551188419593e-07 0.00023121003558469776 0.00023309941109294694 0.006015747287896921 
0.000259308963120565 0.000270613214320415 0.0064688733329855514 900.7445249608047 900.8487828590773 927.0992865851331 4.924551188419593e-07 5.212908938616025e-07 0.00023309941109294694 0.00024328224554160985 0.006016063564817275 
0.000270613214320415 0.000288542839998925 0.006470722562535138 900.8487828590773 901.0083488030103 927.1033197495722 5.212908938616025e-07 5.678525565556585e-07 0.00024328224554160985 0.00025943556768235997 0.006017782622902028 
0.000288542839998925 0.000297839506320659 0.006473708547911743 901.0083488030103 901.0884928176788 927.1098321752681 5.678525565556585e-07 5.923816898515888e-07 0.00025943556768235997 0.0002678123155026565 0.006020558417991261 
0.000297839506320659 0.000305804963744281 0.0064752815938273 901.0884928176788 901.1558446893163 927.1132629839792 5.923816898515888e-07 6.136028229829281e-07 0.0002678123155026565 0.0002749901665578445 0.006022020733634784 
0.000305804963744281 0.000341765071242143 0.0064766424986906325 901.1558446893163 901.3405242555269 927.1162311136529 6.136028229829281e-07 6.759555053305981e-07 0.0002749901665578445 0.0003073992176349338 0.006023285841316205 
0.000341765071242143 0.0012616 0.0064806411573920105 901.3405242555269 902.312634021891 927.124952177018 6.759555053305981e-07 1.3448581046498984e-06 0.0003073992176349338 0.0011370693932870274 0.006027003025356612 
0.0012616 0.0018947 0.006523537679216505 902.312634021891 902.8003882750914 927.218509370294 1.3448581046498984e-06 2.13909021963899e-06 0.0011370693932870274 0.0017084868830669635 0.006066879963655956 
0.0018947 0.0026726 0.006573963329280792 902.8003882750914 903.2858393752465 927.3268835178244 2.13909021963899e-06 3.2879649183112267e-06 0.0017084868830669635 0.0024109722264173926 0.006113775312530169 
0.0026726 0.0036062 0.006645131291702547 903.2858393752465 903.7700760864037 927.4741815462639 3.2879649183112267e-06 4.866879638380308e-06 0.0024109722264173926 0.003254513714257844 0.006180028758681867 
0.0036062 0.0047097 0.0067429384273239475 903.7700760864037 904.2535689840506 927.6766153065416 4.866879638380308e-06 6.957410912206997e-06 0.003254513714257844 0.004252098601237897 0.006271081805202185 
0.0047097 0.0074963 0.006872438059711314 904.2535689840506 905.2194415237519 927.9446437829122 6.957410912206997e-06 1.304101046018238e-05 0.004252098601237897 0.006773304649232037 0.006391638817502124 
0.0074963 0.011197 0.00724507783060772 905.2194415237519 906.1838803765169 928.7026664144164 1.304101046018238e-05 2.2370195075303754e-05 0.006773304649232037 0.010125112727985401 0.006738715521081365 
0.011197 0.015999 0.007801331141100609 906.1838803765169 907.1478170379534 929.7863588909076 2.2370195075303754e-05 3.595796178910535e-05 0.010125112727985401 0.014479014161725657 0.0072574323662348145 
0.015999 0.022073 0.008584908788202244 907.1478170379534 908.1115193261533 931.2299369220623 3.595796178910535e-05 5.499831141571221e-05 0.014479014161725657 0.019992063247258874 0.007989284298155883 
0.022073 0.029477 0.009640409280548526 908.1115193261533 909.0751910018292 933.0426437940364 5.499831141571221e-05 8.080882666219072e-05 0.019992063247258874 0.026719403458311038 0.008977081125822135 
0.029477 0.042684 0.01101009293902773 909.0751910018292 910.5223647203559 935.2054584323673 8.080882666219072e-05 0.0001349414406763392 0.026719403458311038 0.0387354775927149 0.01026199495887006 
0.042684 0.0622 0.013714503536005805 910.5223647203559 912.454482044914 938.9547537131727 0.0001349414406763392 0.00024014208742008093 0.0387354775927149 0.05652463913887071 0.01280860072875611 
0.0622 0.073174 0.018580632749461323 912.454482044914 913.5140425700297 944.458087205423 0.00024014208742008093 0.0003149590647275406 0.05652463913887071 0.06654378049093293 0.017417720404264866 
0.073174 0.075959 0.021856589049316127 913.5140425700297 913.7745545945734 947.5158049125989 0.0003149590647275406 0.0003352377298874586 0.06654378049093293 0.0690882806068422 0.020537167444781696 
0.075959 0.085 0.022727145691600826 913.7745545945734 915.1224955776115 948.2603551702764 0.0003352377298874586 0.00044855858080880974 0.0690882806068422 0.07735574245681803 0.021368079822089756 
0.085 0.09 0.027494555395517133 915.1224955776115 915.6935906133108 951.9087326918897 0.00044855858080880974 0.0005007251192534371 0.07735574245681803 0.08193278369539789 0.025931820780614474 
0.09 0.095 0.02964982972160983 915.6935906133108 916.2821527365937 953.3580587695656 0.0005007251192534371 0.000557560306986959 0.08193278369539789 0.08651272320635034 0.028001732633299317 
0.095 0.1 0.031979343516844706 916.2821527365937 916.8905604471882 954.8058213576878 0.000557560306986959 0.0006194885666720024 0.08651272320635034 0.0910956542958433 0.030243276838373835 
0.1 0.105 0.0345022531624211 916.8905604471882 917.5203194530303 956.2510478686218 0.0006194885666720024 0.0006868781473834935 0.0910956542958433 0.09568168000500507 0.03267557693497866 
0.105 0.11 0.03723631073181647 917.5203194530303 918.172669740515 957.6884736084511 0.0006868781473834935 0.0007600910566866136 0.09568168000500507 0.10027091023843135 0.03531658018234751 
0.11 0.115 0.040200602575773244 918.172669740515 918.8496952763522 959.1140720022009 0.0007600910566866136 0.0008396078908316905 0.10027091023843135 0.10486346316329585 0.038185549755363056 
0.115 0.12 0.04342071720895191 918.8496952763522 919.5518407345244 960.5231307821235 0.0008396078908316905 0.0009257407253059495 0.10486346316329585 0.10945946333529097 0.041308256848963415 
0.12 0.125 0.046917583022159516 919.5518407345244 920.2804720420963 961.9095252335192 0.0009257407253059495 0.0010189264657915066 0.10945946333529097 0.11405903978665977 0.044705985768418 
0.125 0.13 0.05071986175961055 920.2804720420963 921.0363256948835 963.2671016195872 0.0010189264657915066 0.0011195396028730322 0.11405903978665977 0.11866232682890646 0.04840774240147618 
0.13 0.135 0.05485659853707445 921.0363256948835 921.8200547953247 964.5894930897337 0.0011195396028730322 0.0012279546271351976 0.11866232682890646 0.12326946224534553 0.05244299680874054 
0.135 0.14 0.05936054868349022 921.8200547953247 922.633110532743 965.8691676404528 0.0012279546271351976 0.0013446708593575633 0.12326946224534553 0.12788058903993985 0.05684504076292176 
0.14 0.145 0.06427359361730911 922.633110532743 923.4755330916454 967.1001750495411 0.0013446708593575633 0.0014700003750273546 0.12788058903993985 0.13249585400508676 0.06165623776435338 
0.145 0.15 0.06963393190950591 923.4755330916454 924.3477637429025 968.2744174877439 0.0014700003750273546 0.0016043176647292424 0.13249585400508676 0.1371154051130463 0.06691552477106524 
0.15 0.155 0.07548712316271673 924.3477637429025 925.2509842082221 969.3837407974313 0.0016043176647292424 0.0017481220492427878 0.1371154051130463 0.14173939435781122 0.07266930007456121 
0.155 0.16 0.0818871495718259 925.2509842082221 926.1847457042113 970.4220441531172 0.0017481220492427878 0.0019016631889577716 0.14173939435781122 0.14636797563412107 0.07897238539316195 
0.16 0.165 0.08887944913829952 926.1847457042113 927.1493764675463 971.380904029231 0.0019016631889577716 0.0020653155744588636 0.14636797563412107 0.1510013024957946 0.08587147455680004 
0.165 0.17 0.09651157621714423 927.1493764675463 928.1466027211566 972.2548299611387 0.0020653155744588636 0.002239703356720516 0.1510013024957946 0.15563953357191831 0.09341545925976018 
0.17 0.175 0.10483327098782423 928.1466027211566 929.1755750777252 973.0410238357775 0.002239703356720516 0.002425013781035063 0.15563953357191831 0.16028282979171965 0.10165561190459083 
0.175 0.18 0.11385001121905237 929.1755750777252 930.2371996225249 973.7383434443349 0.002425013781035063 0.002621746168182066 0.16028282979171965 0.16493135214783472 0.11059944854744327 
0.18 0.185 0.12353964675113459 930.2371996225249 931.3316529300868 974.3526767761497 0.002621746168182066 0.002830275008746196 0.16493135214783472 0.1695852643686825 0.12022697707281754 
0.185 0.19 0.1338094490304487 931.3316529300868 932.4590974376406 974.8972236251595 0.002830275008746196 0.0030509747933121236 0.1695852643686825 0.17424473102808496 0.13044776716781012 
0.19 0.195 0.14448765322943874 932.4590974376406 933.6193723964617 975.3939942680365 0.0030509747933121236 0.0032841575973670744 0.17424473102808496 0.1789099167141301 0.14109210271106 
0.195 0.2 0.1553294955196717 933.6193723964617 934.8135398851429 975.8721330353673 0.0032841575973670744 0.0035303851567880535 0.1789099167141301 0.18358098821826602 0.15191655070085414 
0.2 0.205 0.16607213025118192 934.8135398851429 936.0411073884104 976.363759360102 0.0035303851567880535 0.003789907131964843 0.18358098821826602 0.18825811381568106 0.16265849376030603 
