mu md ms muu mud mus mue nu nd ns ne epsilon P epsilonorg Porg
5.0 7.0 0.0 89.37892676184316 112.33278494986853 0.0 22.953858188025368 0.009333255565696913 0.018507792643953615 0.0 5.290616248005476e-05 0.002189801480992077 0.000724641176184753 0.002189801480992077 0.000724641176184753 
5.0 7.0 0.0 91.14936197700622 114.55634372869949 0.0 23.40698175169326 0.009900732316292437 0.019633155167232883 0.0 5.61031551175189e-05 0.002368776136840136 0.0007840849742395179 0.002368776136840136 0.0007840849742395179 
5.0 7.0 0.0 92.91978423724048 116.77991546245921 0.0 23.86013122521874 0.010490717754130277 0.020803155780225274 0.0 5.942657601170082e-05 0.0025584972304350524 0.0008471066990415031 0.0025584972304350524 0.0008471066990415031 
5.0 7.0 0.0 94.69019426862347 119.00349942507023 0.0 24.313305156446752 0.011103648906683078 0.02201866117371143 0.0 6.287887988491447e-05 0.00275938632562734 0.0009138468721581914 0.00275938632562734 0.0009138468721581914 
5.0 7.0 0.0 96.46059274397672 121.22709494371097 0.0 24.766502199734255 0.011739962801561766 0.023280538038742967 0.0 6.646252146031911e-05 0.0029718730926946006 0.0009844487172836008 0.0029718730926946006 0.0009844487172836008 
5.0 7.0 0.0 98.23098028765773 123.45070139402395 0.0 25.219721106366222 0.012400096466502064 0.024589653066619126 0.0 7.017995546187952e-05 0.003196395308340693 0.0010590581602391749 0.003196395308340693 0.0010590581602391749 
5.0 7.0 0.0 100.00135747984686 125.67431819582882 0.0 25.672960715981965 0.01308448692935372 0.025946872948864507 0.0 7.403363661428103e-05 0.0034333988556949292 0.0011378238289745574 0.0034333988556949292 0.0011378238289745574 
5.0 7.0 0.0 101.7717248603845 127.89794480928518 0.0 26.126219948900687 0.013793571218070002 0.027353064377210495 0.0 7.802601964289751e-05 0.0036833377243114277 0.0012208970535683317 0.0036833377243114277 0.0012208970535683317 
5.0 7.0 0.0 103.54208293221832 130.12158073144536 0.0 26.579497799227028 0.014527786360699225 0.028809094043576452 0.0 8.215955927370887e-05 0.003946674010168349 0.0013084318662286575 0.003946674010168349 0.0013084318662286575 
5.0 7.0 0.0 105.31243216450223 132.34522549315545 0.0 27.032793328653216 0.015287569385377174 0.030315828640053815 0.0 8.643671023323816e-05 0.004223877915667323 0.001400585001293858 0.004223877915667323 0.001400585001293858 
