muQ deltax deltay muu mud mus mue nu nd ns ne epsilon P
90.0900900900901 300.0 0.0 90.0900900900901 90.0900900900901 0.0 0.0 -5.652863661457264e-17 -5.652863661457264e-17 0.0 -1.0052185159850071e-25 -1.0185339930553633e-17 0.0 
91.0910910910911 300.0 0.0 91.0910910910911 91.0910910910911 0.0 0.0 -5.634093462502817e-17 -5.634093462502817e-17 0.0 -1.0052185159850071e-25 -1.0264314416171298e-17 0.0 
92.0920920920921 300.0 0.0 92.0920920920921 92.0920920920921 0.0 0.0 -5.615137025944934e-17 -5.615137025944934e-17 0.0 -1.0052185159850071e-25 -1.0342194322060742e-17 0.0 
93.0930930930931 300.0 0.0 93.0930930930931 93.0930930930931 0.0 0.0 -5.595995073945463e-17 -5.595995073945463e-17 0.0 -1.0052185159850071e-25 -1.041896980734591e-17 0.0 
94.0940940940941 300.0 0.0 94.0940940940941 94.0940940940941 0.0 0.0 -5.57666833797289e-17 -5.57666833797289e-17 0.0 -1.0052185159850071e-25 -1.0494631106495532e-17 0.0 
95.0950950950951 300.0 0.0 95.0950950950951 95.0950950950951 0.0 0.0 -5.557157558855632e-17 -5.557157558855632e-17 0.0 -1.0052185159850071e-25 -1.056916853035606e-17 0.0 
96.0960960960961 300.0 0.0 96.0960960960961 96.0960960960961 0.0 0.0 -5.537463486836054e-17 -5.537463486836054e-17 0.0 -1.0052185159850071e-25 -1.0642572467192418e-17 0.0 
97.0970970970971 300.0 0.0 97.0970970970971 97.0970970970971 0.0 0.0 -5.517586881625625e-17 -5.517586881625625e-17 0.0 -1.0052185159850071e-25 -1.0714833383737453e-17 0.0 
98.0980980980981 300.0 0.0 98.0980980980981 98.0980980980981 0.0 0.0 -5.497528512461238e-17 -5.497528512461238e-17 0.0 -1.0052185159850071e-25 -1.078594182625028e-17 0.0 
99.0990990990991 300.0 0.0 99.0990990990991 99.0990990990991 0.0 0.0 -5.477289158162264e-17 -5.477289158162264e-17 0.0 -1.0052185159850071e-25 -1.0855888421582868e-17 0.0 
100.10010010010011 300.0 0.0 100.10010010010011 100.10010010010011 0.0 0.0 -5.4568696071891156e-17 -5.4568696071891156e-17 0.0 -1.0052185159850071e-25 -1.092466387825649e-17 0.0 
101.10110110110111 300.0 0.0 101.10110110110111 101.10110110110111 0.0 0.0 -5.4362706577024855e-17 -5.4362706577024855e-17 0.0 -1.0052185159850071e-25 -1.099225898754657e-17 0.0 
