r P epsilon nu nd ns ne
1.7211000000000014 0.0007406158771749646 0.0035310291015123764 0.8286203614973212 1.5510865264891045 0.09577105171347851 0.003461048264018319 
1.7311000000000014 0.0007399575604529243 0.0035281157280461157 0.8280609248820585 1.5504963639388507 0.0952332196739291 0.003464088717110935 
1.7411000000000014 0.0007392961724365937 0.0035251887626005047 0.8274988782852707 1.549903448059067 0.09469287844629917 0.003467143355056997 
1.7511000000000014 0.0007386317249249956 0.0035222482573919888 0.8269342317337504 1.5493077894272473 0.09415003767016217 0.0034702121233624083 
1.7611000000000014 0.0007379642297594076 0.0035192942648240135 0.8263669952901986 1.5487093986587663 0.09360470701961317 0.003473294967337917 
1.7711000000000015 0.0007372936988229358 0.0035163268374851344 0.8257971790528622 1.548108286406497 0.09305689620292015 0.003476391832101084 
1.7811000000000015 0.0007366201440400867 0.0035133460281471253 0.8252247931551696 1.547504463360426 0.0925066149621745 0.0034795026625782633 
1.7911000000000015 0.0007359435773763401 0.0035103518897630862 0.8246498477653685 1.5468979402472718 0.0919538730729419 0.003482627403506572 
1.8011000000000015 0.0007352640108377212 0.0035073444754655514 0.8240723530861624 1.5462887278301005 0.09139868034391307 0.003485765999435866 
1.8111000000000015 0.0007345814564703735 0.003504323838564596 0.8234923193543466 1.5456768369079432 0.0908410466165543 0.003488918394730716 
1.8211000000000015 0.0007338959263601302 0.003501290032545944 0.8229097568404452 1.5450622783154118 0.09028098176475781 0.0034920845335723832 
1.8311000000000015 0.0007332074326320866 0.0034982431110690713 0.8223246758483467 1.5444450629223154 0.08971849569449206 0.003495264359960796 
1.8411000000000015 0.0007325159874501719 0.003495183127965315 0.8217370867149412 1.543825201633277 0.08915359834345227 0.003498457817716527 
1.8511000000000015 0.0007318216030167209 0.0034921101372359735 0.8211469998097551 1.5432027053873487 0.0885862996807101 0.003501664850482772 
1.8611000000000015 0.0007311242915720457 0.003489024193050415 0.8205544255345887 1.5425775851576282 0.08801660970636398 0.0035048854017273286 
1.8711000000000015 0.000730424065394007 0.003485925349744177 0.8199593743231501 1.5419498519508748 0.08744453845118877 0.003508119414744574 
1.8811000000000015 0.0007297209367975853 0.003482813661817073 0.8193618566406926 1.5413195168071243 0.0868700959762856 0.003511366832657446 
1.8911000000000016 0.0007290149181344524 0.00347968918393129 0.8187618829836493 1.5406865907993057 0.08629329237273169 0.003514627598419425 
1.9011000000000016 0.0007283060217925422 0.0034765519709094956 0.8181594638792686 1.5400510850328553 0.08571413776122952 0.0035179016548165113 
1.9111000000000016 0.000727594260086057 0.003473407003396743 0.8175553560444915 1.5394116580191268 0.08513555047837851 0.0035211678638249126 
1.9211000000000016 0.000726879635046182 0.0034703592139580662 0.8169654558667616 1.538739503663978 0.08461947646332314 0.003523977202073104 
1.9311000000000016 0.0007261621497659463 0.0034672992259398862 0.8163731946518402 1.5380646590546285 0.08410133689550288 0.003526797784515378 
1.9411000000000016 0.000725441816296435 0.003464227090738626 0.8157785823475137 1.5373871355259592 0.08358114047773604 0.003529629563776436 
1.9511000000000016 0.0007247186467248403 0.0034611428599046986 0.8151816289313736 1.5367069444468113 0.08305889593891601 0.0035324724923390355 
1.9611000000000016 0.0007239926531740082 0.0034580465851405777 0.8145823444104429 1.5360240972195616 0.082534612033684 0.003535326522545771 
1.9711000000000016 0.0007232638478019872 0.003454938318298871 0.8139807388208026 1.5353386052796967 0.08200829754210308 0.0035381916066008503 
1.9811000000000016 0.000722532242801578 0.0034518181113804003 0.813376822227221 1.5346504800953906 0.08147996126933296 0.003541067696571861 
1.9911000000000016 0.0007217978503998849 0.0034486860165322875 0.8127706047227825 1.5339597331670816 0.08094961204530603 0.003543954744391538 
2.0011000000000014 0.0007210606828578673 0.003445542086046043 0.8121620964285182 1.5332663760270515 0.08041725872440356 0.003546852701859524 
2.011100000000001 0.0007203207524698939 0.003442386372355663 0.8115513074930373 1.5325704202390056 0.07988291018513363 0.0035497615206441227 
