nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
0.0026726 0.0036062 0.00677593189062746 903.2858393752465 903.7700760864037 927.1253424459505 3.2879649183112267e-06 4.866879638380308e-06 0.0024109722264173926 0.003254513714257844 0.006299560037431495 
0.0036062 0.0047097 0.006876452294231408 903.7700760864037 904.2535689840506 927.3209785698016 4.866879638380308e-06 6.957410912206997e-06 0.003254513714257844 0.004252098601237897 0.006393118787662745 
0.0047097 0.0074963 0.0070094200185578616 904.2535689840506 905.2194415237519 927.579342266084 6.957410912206997e-06 1.304101046018238e-05 0.004252098601237897 0.006773304649232037 0.006516882727312974 
0.0074963 0.011197 0.007393949792419843 905.2194415237519 906.1838803765169 928.3185349068671 1.304101046018238e-05 2.2370195075303754e-05 0.006773304649232037 0.010125112727985401 0.0068748969098479116 
0.011197 0.015999 0.007968052115963922 906.1838803765169 907.1478170379534 929.3707427389572 2.2370195075303754e-05 3.595796178910535e-05 0.010125112727985401 0.014479014161725657 0.007410069759581171 
0.015999 0.022073 0.008779082338163423 907.1478170379534 908.1115193261533 930.7743646762844 3.595796178910535e-05 5.499831141571221e-05 0.014479014161725657 0.019992063247258874 0.008167232033533138 
0.022073 0.029477 0.009873941521391132 908.1115193261533 909.0751910018292 932.5319571974803 5.499831141571221e-05 8.080882666219072e-05 0.019992063247258874 0.026719403458311038 0.009191381658699614 
0.029477 0.042684 0.011297142109697879 909.0751910018292 910.5223647203559 934.613877367711 8.080882666219072e-05 0.0001349414406763392 0.026719403458311038 0.0387354775927149 0.010525910364562432 
0.042684 0.0622 0.014126196695336934 910.5223647203559 912.454482044914 938.2229734761509 0.0001349414406763392 0.00024014208742008093 0.0387354775927149 0.05652463913887071 0.013188221020694432 
0.0622 0.073174 0.019264692929432222 912.454482044914 913.5140425700297 943.4660103405834 0.00024014208742008093 0.0003149590647275406 0.05652463913887071 0.06654378049093293 0.01805155686563543 
0.073174 0.075959 0.022760832702644857 913.5140425700297 913.7745545945734 946.3483954935052 0.0003149590647275406 0.0003352377298874586 0.06654378049093293 0.0690882806068422 0.021377456008141157 
0.075959 0.085 0.023694544633602863 913.7745545945734 915.1224955776115 947.0436017050124 0.0003352377298874586 0.00044855858080880974 0.0690882806068422 0.07735574245681803 0.022267773015542423 
0.085 0.09 0.02884976523869202 915.1224955776115 915.6935906133108 950.433667092112 0.00044855858080880974 0.0005007251192534371 0.07735574245681803 0.08193278369539789 0.02719698488101431 
0.09 0.095 0.03120280819551971 915.6935906133108 916.2821527365937 951.764411529424 0.0005007251192534371 0.000557560306986959 0.08193278369539789 0.08651272320635034 0.029453877372173604 
0.095 0.1 0.03376265654080413 916.2821527365937 916.8905604471882 953.0836826329449 0.000557560306986959 0.0006194885666720024 0.08651272320635034 0.0910956542958433 0.0319135926175676 
0.1 0.105 0.03655493301164484 916.8905604471882 917.5203194530303 954.3883237981145 0.0006194885666720024 0.0006868781473834935 0.0910956542958433 0.09568168000500507 0.03460154801871302 
0.105 0.11 0.03960523869727461 917.5203194530303 918.172669740515 955.6727043439964 0.0006868781473834935 0.0007600910566866136 0.09568168000500507 0.10027091023843135 0.03754327825418135 
0.11 0.115 0.04294215048447501 918.172669740515 918.8496952763522 956.9298778008465 0.0007600910566866136 0.0008396078908316905 0.10027091023843135 0.10486346316329585 0.04076734108127004 
0.115 0.12 0.04660356566192566 918.8496952763522 919.5518407345244 958.1547244903409 0.0008396078908316905 0.0009257407253059495 0.10486346316329585 0.10945946333529097 0.04431142740183627 
0.12 0.125 0.05062497011856972 919.5518407345244 920.2804720420963 959.3375811714599 0.0009257407253059495 0.0010189264657915066 0.10945946333529097 0.11405903978665977 0.04821111958614917 
0.125 0.13 0.0550535411919462 920.2804720420963 921.0363256948835 960.4707599772603 0.0010189264657915066 0.0011195396028730322 0.11405903978665977 0.11866232682890646 0.05251348117124298 
0.13 0.135 0.0599415565213308 921.0363256948835 921.8200547953247 961.5441467696816 0.0011195396028730322 0.0012279546271351976 0.11866232682890646 0.12326946224534553 0.057270794491451324 
0.135 0.14 0.06535030492119363 921.8200547953247 922.633110532743 962.5471957438393 0.0012279546271351976 0.0013446708593575633 0.12326946224534553 0.12788058903993985 0.0625443419202525 
0.14 0.145 0.0713583455480893 922.633110532743 923.4755330916454 963.4693949213167 0.0013446708593575633 0.0014700003750273546 0.12788058903993985 0.13249585400508676 0.06841254801693632 
0.145 0.15 0.07804628913890145 923.4755330916454 924.3477637429025 964.29799288713 0.0014700003750273546 0.0016043176647292424 0.13249585400508676 0.1371154051130463 0.07495616681484207 
0.15 0.155 0.08550802114869749 924.3477637429025 925.2509842082221 965.0206385126776 0.0016043176647292424 0.0017481220492427878 0.1371154051130463 0.14173939435781122 0.08226927368145802 
0.155 0.16 0.09384880096333542 925.2509842082221 926.1847457042113 965.6262339617072 0.0017481220492427878 0.0019016631889577716 0.14173939435781122 0.14636797563412107 0.09045747024680423 
0.16 0.165 0.10314589875821707 926.1847457042113 927.1493764675463 966.1058445628339 0.0019016631889577716 0.0020653155744588636 0.14636797563412107 0.1510013024957946 0.09959919848441541 
0.165 0.17 0.11343217901989162 927.1493764675463 928.1466027211566 966.458959232688 0.0020653155744588636 0.002239703356720516 0.1510013024957946 0.15563953357191831 0.10972937468086204 
0.17 0.175 0.12464172182950291 928.1466027211566 929.1755750777252 966.7001070880362 0.002239703356720516 0.002425013781035063 0.15563953357191831 0.16028282979171965 0.12078545796939177 
0.175 0.18 0.13649819241418354 929.1755750777252 930.2371996225249 966.8638067753595 0.002425013781035063 0.002621746168182066 0.16028282979171965 0.16493135214783472 0.13249666922850048 
0.18 0.185 0.14855847679741116 930.2371996225249 931.3316529300868 967.0045755969062 0.002621746168182066 0.002830275008746196 0.16493135214783472 0.1695852643686825 0.14442601231864924 
0.185 0.19 0.16030818044794107 931.3316529300868 932.4590974376406 967.1813792750031 0.002830275008746196 0.0030509747933121236 0.1695852643686825 0.17424473102808496 0.15606412834483394 
0.19 0.195 0.17135314035476568 932.4590974376406 933.6193723964617 967.4387426672079 0.0030509747933121236 0.0032841575973670744 0.17424473102808496 0.1789099167141301 0.1670189458143057 
0.195 0.2 0.181502130127239 933.6193723964617 934.8135398851429 967.7988491928136 0.0032841575973670744 0.0035303851567880535 0.1789099167141301 0.18358098821826602 0.17709853969705547 
0.2 0.205 0.19074637591084076 934.8135398851429 936.0411073884104 968.2666837540919 0.0035303851567880535 0.003789907131964843 0.18358098821826602 0.18825811381568106 0.18629178041311606 
0.205 0.21 0.19915423896096093 936.0411073884104 937.3030583563403 968.8376351991732 0.003789907131964843 0.004063285258774448 0.18825811381568106 0.19294146295007042 0.19466440551706113 
0.21 0.215 0.2068376128888673 937.3030583563403 938.5983377279805 969.5045007058261 0.004063285258774448 0.004350644367411759 0.19294146295007042 0.19763120496173514 0.20232586143655337 
0.215 0.22 0.21389617805538066 938.5983377279805 939.928436694621 970.2588579241217 0.004350644367411759 0.004652671023948672 0.19763120496173514 0.2023275101842111 0.20937386310914627 
